workerid,proliferate.condition,age,american,comments,gender,language,error
2606,default,28,Yes,,Female,English,
2616,default,18,Yes,,Female,English,
2747,default,29,Yes,,Female,English,
2749,default,22,Yes,,Female,"english, spanish",
2614,default,36,Yes,None of these statements sounded right the way I have learned English in america,Female,"English,",
2670,default,23,Yes,,Female,English,
2686,default,36,Yes,"The wording was confusing, although I guess that was probably the point",Female,Englis,
2710,default,24,Yes,,Male,English,
2721,default,24,Yes,,Female,English,
2631,default,20,Yes,,Female,English,
2662,default,49,Yes,good study.,Male,English,
2724,default,24,Yes,"I felt that the questions that were meant to be 'attention checks' weren't as clear as you stated they would be in the beginning. There weren't many that I felt I was 100% correct on, mostly because it felt like the majority of responses didn't make sense. ",Female,Engligh,
2555,default,18,Yes,,Female,English,
2780,default,18,Yes,very easy to complete,Female,English,
2661,default,19,Yes,"Was confused about the format at first, mainly because the examples and what section was first was flipped.",Male,English,
2580,default,26,Yes,,Female,English,
2638,default,21,Yes,,Male,English ,
2628,default,22,Yes,,Female,English,
2622,default,19,Yes,,Female,English,
2685,default,21,Yes,,Female,English,
2719,default,28,Yes,,Female,english,
2705,default,24,Yes,,Female,english,
2552,default,24,Yes,,Female,English,
2742,default,18,Yes,,Female,english,
2668,default,24,Yes,,Female,English,
2643,default,22,Yes,None,Female,English,
2541,default,30,Yes,,Female,English,
2716,default,22,Yes,,Female,"English, Spanish",
2624,default,18,Yes,,Female,English,
2640,default,70,Yes,,Female,English,
2659,default,33,Yes,,Female,English,
2702,default,21,Yes,N/A,Female,English,
2754,default,19,Yes,,Female,English,
2623,default,20,Yes,,Female,spanish,
2658,default,25,Yes,,Male,english,
2649,default,21,Yes,,Other,english,
2676,default,29,Yes,,Female,English,
2673,default,20,Yes,,Female,English ,
2789,default,21,Yes,,Female,English,
2540,default,29,Yes,,Female,english,
2786,default,32,Yes,"I hope I answered them all correctly, some were very tricky to the point that I wasn't sure if they were suppose to be attention check questions. The beginning seemed like nearly every question was no, so it was very difficult and confusing. ",Female,English,
2610,default,23,Yes,,Female,English,
2769,default,19,Yes,,Male,English,
2764,default,22,Yes,,Female,english,
2665,default,19,Yes,,Female,english,
2739,default,28,Yes,,Female,English,
2585,default,19,Yes,,Female,english,
2651,default,20,Yes,,Female,English,
2562,default,19,Yes,,Female,english,
2584,default,20,Yes,,Female,English,
2620,default,26,Yes,The second part was a little contradicting. ,Female,English,
2687,default,20,Yes,,Female,English,
2766,default,20,Yes,,Female,English,
2667,default,21,Yes,,Female,English,
2543,default,22,Yes,,Female,English,
2785,default,25,Yes,,Female,English,
2729,default,20,Yes,,Female,English,
2567,default,32,Yes,,Male,English,
2561,default,34,Yes,,Female,english,
2731,default,18,Yes,,Female,English,
2587,default,36,Yes,Very challenging. Really forced me to think!,Female,English,
2635,default,27,Yes,This was extremely confusing and I don't think your experiment makes sense. ,Female,english,
2684,default,18,Yes,"In sentences formatted like this:
""Dexter didn't demonstrate that Jon walks to work."",
the ""that"" should be replaced by ""whether"" to show uncertainty.",Female,English,
2695,default,38,Yes,,Female,English,
2758,default,28,Yes,"For me, the statements could be interpreted in two different ways. Was interesting how a small change in wording could leave a simple phrase open to much interpretation. ",Female,English,
2777,default,27,Yes,,Female,English,
2583,default,38,Yes,,Female,English,
2646,default,20,Yes,,Female,English,
2630,default,22,Yes,,Female,English,
2727,default,27,Yes,,Female,English,
2633,default,23,Yes,,Female,English,
2682,default,18,Yes,,Female,english,
2535,default,47,Yes,,Female,english,
2629,default,18,Yes,,Female,English,
2788,default,30,Yes,great survey,Male,English,
2653,default,18,Yes,,Female,english,
2576,default,22,Yes,,Female,English,
2712,default,33,Yes,,Female,English,
2536,default,19,Yes,,Female,english,
2783,default,21,Yes,,Female,english,
2572,default,20,Yes,,Female,English,
2733,default,22,Yes,,Female,English,
2590,default,22,Yes,,Female,english,
2734,default,33,Yes,Great study. I'm not entirely sure what was going on but I was certainly overthinking at times. Thank you for allowing me to participate.,Male,English,
2756,default,25,Yes,thank you ,Female,English ,
2550,default,21,Yes,,Female,english,
2748,default,18,Yes,,Female,English,
2586,default,21,Yes,,Female,English,
2654,default,21,Yes,This was a bit confusing. I tried my best,Female,English,
2726,default,21,Yes,,Female,english,
2546,default,23,Yes,,Female,English,
2542,default,25,Yes,,Female,English,
2636,default,19,Yes,,Female,English,
2566,default,26,Yes,,Female,English,
2549,default,24,Yes,,Female,English,
2532,default,24,Yes,,Male,English,
2709,default,27,Yes,,Female,English,
2666,default,19,Yes,,Female,English,
2775,default,31,Yes,,Female,English,
2711,default,21,Yes,,Female,English,
2741,default,23,Yes,,Female,English,
2781,default,24,Yes,,Male,English,
2787,default,20,Yes,It was pretty easy.,Female,English,
2663,default,24,Yes,,Female,English,
2745,default,21,Yes,,Female,english,
2598,default,21,Yes,,Female,English,
2765,default,22,Yes,,Female,English,
2704,default,22,Yes,,Female,English,
2617,default,24,Yes,,Female,english,
2609,default,21,Yes,,Female,English,
2569,default,24,Yes,,Female,English,
2545,default,22,Yes,,Female,Spanish,
2664,default,20,Yes,,Female,English,
2644,default,24,Yes,,Female,English,
2696,default,30,Yes,,Female,English,
2669,default,20,Yes,,Male,English,
2790,default,32,Yes,,Male,English,
2718,default,21,Yes,None,Female,English,
2750,default,30,Yes,,Female,English,
2544,default,20,Yes,,Female,English,
2581,default,20,Yes,,Female,English,
2725,default,23,Yes,,Female,English,
2703,default,26,Yes,,Female,English,
2736,default,22,Yes,,Female,English,
2770,default,34,Yes,,Female,English,
2647,default,22,Yes,,Female,English,
2779,default,22,Yes,,Female,English,
2553,default,18,Yes,,Male,English,
2778,default,27,Yes,,Female,english,
2759,default,25,Yes,"I'm not sure if I misunderstood the second half of the survey, but saying ""Yes, that's true, but..."" in regards to the previous statement makes me believe the entirety of the previous statement is true, but then you have them say half of it is false. It's fairly confusing not having clarification to which part is true or not. ",Other,English,
2559,default,21,Yes,,Female,English,
2558,default,20,Yes,,Female,English,
2773,default,27,Yes,,Female,English,
2771,default,24,Yes,,Female,English,
2613,default,22,Yes,,Female,English,
2692,default,34,Yes,,Female,English,
2767,default,30,Yes,,Female,English,
2679,default,22,Yes,,Female,english,
2723,default,22,Yes,,Male,English,
2600,default,25,Yes,,Female,english,
2751,default,21,Yes,,Female,English,
2714,default,18,Yes,,Female,English,
2717,default,22,Yes,,Female,ENGLISH,
2601,default,18,Yes,,Female,English,
2730,default,22,Yes,N/A,Female,English,
2551,default,24,Yes,,Female,English,
2642,default,18,Yes,,Female,english,
2577,default,44,Yes,,Male,English,
2641,default,22,Yes,,Female,English,
2599,default,31,Yes,,Female,English,
2607,default,28,Yes,,Male,English,
2690,default,19,Yes,,Female,English,
2675,default,18,Yes,,Female,English,
2579,default,21,Yes,,Female,English,
2554,default,21,Yes,,Female,English ,
2755,default,18,Yes,,Male,English,
2698,default,18,Yes,,Female,English,
2677,default,21,Yes,,Female,English ,
2760,default,21,Yes,,Female,English,
2728,default,22,Yes,,Female,English,
2570,default,25,Yes,,Female,English,
2761,default,21,Yes,,Female,English,
2539,default,39,Yes,,Female,English,
2537,default,22,Yes,,Female,English,
2637,default,31,Yes,,Female,English,
