workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error
2920,default,block1,emma,projective,0,23106,say,5,say,C,
2920,default,block1,mary,projective,0.01,6966,pretend,6,pretend,C,
2920,default,block1,jon,projective,0.01,6777,demonstrate,7,demonstrate,C,
2920,default,block1,owen,projective,0.02,5894,hear,8,hear,C,
2920,default,block1,ballet,projective,0.97,7146,MC,9,MC,MC,
2920,default,block1,jackson,projective,0.01,3067,see,10,see,C,
2920,default,block1,julian,projective,0.01,3083,confirm,11,confirm,C,
2920,default,block1,mia,projective,0,5163,establish,12,establish,C,
2920,default,block1,hat,projective,1,12668,MC,13,MC,MC,
2920,default,block1,emily,projective,0,2729,confess,14,confess,C,
2920,default,block1,zoe,projective,0,4923,be_annoyed,15,be_annoyed,C,
2920,default,block1,tony,projective,0,3099,admit,16,admit,C,
2920,default,block1,jayden,projective,0,4200,acknowledge,17,acknowledge,C,
2920,default,block1,kids,projective,1,5200,MC,18,MC,MC,
2920,default,block1,olivia,projective,0,2604,suggest,19,suggest,C,
2920,default,block1,pizza,projective,1,5096,MC,20,MC,MC,
2920,default,block1,muffins,projective,1,4883,MC,21,MC,MC,
2920,default,block1,sophia,projective,0,4662,prove,22,prove,C,
2920,default,block1,charley,projective,0,2770,think,23,think,C,
2920,default,block1,garage,projective,1,3846,MC,24,MC,MC,
2920,default,block1,isabella,projective,0,2915,inform,25,inform,C,
2920,default,block1,josie,projective,0,2961,reveal,26,reveal,C,
2920,default,block1,frank,projective,0,7813,know,27,know,C,
2920,default,block1,josh,projective,0,8977,be_right,28,be_right,C,
2920,default,block1,danny,projective,0,3131,discover,29,discover,C,
2920,default,block1,grace,projective,0,3589,announce,30,announce,C,
2920,default,block2,josh,ai,0,16391,be_right,32,be_right,C,
2920,default,block2,mary,ai,0,13481,pretend,33,pretend,C,
2920,default,block2,pizza,ai,0.72,16425,MC,34,MC,MC,
2920,default,block2,hat,ai,0.75,18171,MC,35,MC,MC,
2920,default,block2,danny,ai,0.21,18677,discover,36,discover,C,
2920,default,block2,jayden,ai,0.2,15024,acknowledge,37,acknowledge,C,
2920,default,block2,kids,ai,0.75,9452,MC,38,MC,MC,
2920,default,block2,grace,ai,0.14,8165,announce,39,announce,C,
