workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,catch_trials,subject_information.age,subject_information.american,subject_information.comments,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
3531,default,block1,owen,ai,0.61,11827,discover,5,discover,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,jon,ai,0.61,10640,confirm,6,confirm,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,mary,ai,0.61,5899,suggest,7,suggest,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,josh,ai,0.7,9262,see,8,see,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,danny,ai,0.8,8658,pretend,9,pretend,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,tony,ai,0.62,8757,say,10,say,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,josie,ai,0.31,9195,hear,11,hear,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,muffins,ai,0.21,8674,MC,12,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,hat,ai,0.61,56426,MC,13,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,sophia,ai,0.55,6233,think,14,think,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,grace,ai,0.32,6736,prove,15,prove,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,olivia,ai,0.52,8912,be_right,16,be_right,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,jayden,ai,0.6,9338,confess,17,confess,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,emily,ai,0.34,7005,admit,18,admit,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,zoe,ai,0.64,8214,establish,19,establish,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,emma,ai,0.91,11165,inform,20,inform,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,isabella,ai,0.4,6483,demonstrate,21,demonstrate,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,charley,ai,0.38,6421,announce,22,announce,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,frank,ai,0.79,12234,be_annoyed,23,be_annoyed,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,mia,ai,0.78,7954,acknowledge,24,acknowledge,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,ballet,ai,0.85,6376,MC,25,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,jackson,ai,0.49,13110,know,26,know,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,julian,ai,0.77,8869,reveal,27,reveal,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,pizza,ai,0.83,5514,MC,28,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,garage,ai,0.8,9858,MC,29,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block1,kids,ai,0.9,4839,MC,30,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block2,tony,projective,0.18,10778,say,32,say,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block2,kids,projective,0.96,5961,MC,33,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block2,emily,projective,0.28,8642,admit,34,admit,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block2,mary,projective,0.15,11885,suggest,35,suggest,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block2,mia,projective,0.62,5510,acknowledge,36,acknowledge,C,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
3531,default,block2,hat,projective,0.97,6667,MC,37,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,864,1536,8.737416666666666,
