workerid,proliferate.condition,age,american,comments,gender,language,error
3531,default,18,Yes,,Female,English,
3454,default,34,Yes,,Male,English,
3371,default,21,Yes,,Female,English,
3546,default,20,Yes,,Female,English,
3552,default,27,Yes,,Female,english,
3486,default,27,Yes,,Female,English,
3453,default,27,Yes,,Female,English,
3539,default,27,Yes,,Female,English ,
3541,default,27,Yes,,Female,English,
3355,default,19,Yes,I found this study to be rather confusing as the grammar was off.,Female,English,
3364,default,19,Yes,,Female,English,
3456,default,24,Yes,,Female,English,
3393,default,28,Yes,,Male,English,
3535,default,22,Yes,,Female,English,
3530,default,24,Yes,,Female,English,
3509,default,31,Yes,,Male,english,
3553,default,21,Yes,,Female,English,
3376,default,24,Yes,,Female,English and Spanish,
3439,default,43,Yes,,Female,English,
3391,default,43,Yes,,Male,English,
3490,default,28,Yes,,Female,English,
3464,default,22,Yes,,Female,english,
3480,default,33,Yes,The Survey went well,Male,English ,
3385,default,43,Yes,,Male,Englsih,
3458,default,22,Yes,,Female,english,
3491,default,18,Yes,,Female,English,
3426,default,30,Yes,"Tough, because though most responses were acceptable, I would argue that they were good. lol Made me think though and I like that.",Female,English,
3559,default,27,Yes,,Female,english,
3457,default,34,Yes,,Female,english,
3499,default,23,Yes,,Female,English,
3398,default,48,Yes,,Male,English,
3497,default,34,Yes,The study took over the 10 minutes ,Male,English,
3374,default,29,Yes,,Female,English,
3443,default,27,Yes,,Female,English,
3353,default,19,Yes,,Male,English,
3343,default,34,Yes,,Female,English,
3446,default,21,Yes,,Female,English,
3399,default,32,Yes,,Female,English,
3533,default,20,Yes,,Female,English,
3485,default,30,Yes,,Female,English,
3347,default,27,Yes,,Female,English,
3459,default,21,Yes,This experiment was very interesting. The statements all sounded incorrect to me and I'm not sure if they're supposed to but I figured I'd inform you all.,Female,English,
3502,default,22,Yes,,Female,english,
3511,default,29,Yes,No,Male,English,
3500,default,21,Yes,,Male,English,
3390,default,45,Yes,,Male,Male,
3360,default,56,Yes,I felt like the negative comments would have been unnecessary,Female,English,
3327,default,21,Yes,,Female,English ,
3468,default,40,Yes,,Male,English,
3438,default,23,Yes,,Female,English,
3537,default,23,Yes,,Female,English,
3402,default,25,Yes,It was a little confusing,Female,English,
3441,default,22,Yes,,Female,English,
3326,default,22,Yes,,Female,english,
3469,default,20,Yes,,Female,English,
3507,default,18,Yes,,Female,English,
3431,default,22,Yes,,Female,English,
3517,default,30,Yes,,Female,English,
3420,default,22,Yes,,Female,English,
3475,default,20,Yes,,Female,english,
3383,default,21,Yes,,Female,English,
3415,default,40,Yes,Very nice survey. Thanks.,Male,English,
3373,default,26,Yes,,Female,English,
3466,default,20,Yes,,Female,English,
3557,default,44,Yes,,Male,English,
3504,default,21,Yes,,Female,English ,
3467,default,20,Yes,,Female,English,
3540,default,24,Yes,This was an interesting experiment. Thank you!,Female,English,
3340,default,54,Yes,,Female,english,
3505,default,21,Yes,,Male,English,
3545,default,32,Yes,,Female,English ,
3581,default,20,Yes,,Female,English,
3403,default,26,Yes,Very interesting!,Female,English,
3407,default,18,Yes,,Female,English,
3409,default,24,Yes,,Female,English,
3549,default,21,Yes,,Female,English,
3543,default,35,Yes,,Male,American English,
3341,default,39,Yes,great study,Male,English,
3583,default,20,Yes,,Female,english,
3329,default,44,Yes,,Male,English,
3547,default,26,Yes,,Female,ENGLISH,
