workerid,proliferate.condition,age,american,comments,gender,language,error
462,default,18,Yes,,Female,English,
505,default,32,Yes,None. Thank you for asking.,Female,American English,
546,default,74,Yes,,Male,english,
685,default,38,Yes,Thanks,Female,english,
495,default,30,Yes,,Male,English,
405,default,18,Yes,,Male,English,
383,default,18,Yes,,Female,English,
583,default,72,Yes,"I thought this was difficult and possibly subjective? I'd be curious to know what the researchers had in mind and what the ""correct"" answers were. I felt like I was trying to apply some kind of logic or reasoning to determine the answers and sometimes wondered if I was over  thinking it or if I was right!",Female,English,
567,default,19,Yes,,Female,,
379,default,39,Yes,None,Male,English,
687,default,51,Yes,,Male,English,
679,default,32,Yes,The meaning of some of these statements would depend highly on the context of the situation and the things said before and after them.,Female,English,
626,default,42,Yes,None. Thank you.,Female,english,
554,default,24,Yes,,Male,English,
441,default,36,Yes,,Male,english,
517,default,22,Yes,,Female,English,
570,default,33,Yes,Interesting exercise and something I don't typically think about.,Female,English,
515,default,30,,,Female,English,
612,default,73,Yes,"Had to think about my responses because the questions were ambiguous. In most cases, the person did answer the question as to whether or not something was done, but not as to whether the 3rd person said or did something.",Female,English,
411,default,26,Yes,None at this time.,Male,English,
416,default,23,Yes,,Female,English,
455,default,40,Yes,,Female,English,
555,default,58,Yes,,Female,english,
428,default,55,Yes,,Female,English,
537,default,19,Yes,,Female,English,
404,default,20,Yes,,Female,English,
512,default,64,Yes,,Female,english,
446,default,22,Yes,,Female,English,
586,default,36,Yes,,Male,English,
556,default,43,Yes,,Female,English,
533,default,43,Yes,,Male,English ,
640,default,27,Yes,,Male,English,
403,default,47,Yes,,Male,English,
481,default,22,Yes,N/A,Female,English (US),
418,default,24,Yes,,Female,English,
545,default,20,Yes,,Female,English,
593,default,25,Yes,N/A,Other,English,
539,default,31,Yes,no comments,Female,English,
620,default,36,Yes,,Male,English,
572,default,25,Yes,,Male,English,
684,default,19,Yes,,Female,English,
599,default,22,Yes,n/a,Male,english,
419,default,50,Yes,It is a interesting experiment.,Male,English,
597,default,19,Yes,,Female,English,
429,default,38,Yes,,Male,English,
676,default,45,Yes,,Female,English,
412,default,40,Yes,,Male,English,
564,default,23,Yes,,Male,English,
678,default,25,Yes,,Female,English,
456,default,32,Yes,This was interesting to think about. I'm not really sure what I think about some of them; it seems like there needs to be more explanation on the part of the speakers to clarify their statements and questions.,Male,English,
388,default,24,Yes,,Male,English,
397,default,56,Yes,this was fun and interesting,Female,English,
414,default,29,Yes,,Male,english,
550,default,51,Yes,,Male,English,
594,default,29,Yes,,Male,English,
393,default,52,Yes,,Female,English,
413,default,20,Yes,,Male,"Chinese, English",
629,default,30,Yes,,Male,English,
568,default,28,Yes,,Female,English,
467,default,19,Yes,none,Female,english,
669,default,40,Yes,,Male,English,
509,default,33,Yes,"Nothing that I can think of, thank you.",Female,English,
613,default,33,Yes,,Female,English,
605,default,21,Yes,,Female,"English, French",
407,default,33,Yes,,Male,English,
557,default,32,Yes,,Male,English,
585,default,24,Yes,,Male,English,
528,default,51,Yes,,Female,English,
501,default,43,Yes,Thanks. ,Male,English,
475,default,34,Yes,,Male,English,
609,default,23,Yes,,Female,English,
434,default,62,Yes,,Male,english,
646,default,26,Yes,none,Female,English,
573,default,34,Yes,,Male,english,
381,default,28,Yes,,Male,English,
516,default,38,Yes,Enjoyed the test,Female,English,
445,default,28,Yes,,Female,English,
386,default,36,Yes,,Female,english,
396,default,26,Yes,Thanks.,Female,English,
491,default,27,Yes,,Male,english,
492,default,19,Yes,,Male,English,
604,default,24,Yes,,Female,English ,
580,default,19,Yes,,Female,English,
400,default,26,Yes,,Female,English,
435,default,34,Yes,,Male,English,
628,default,31,Yes,,Male,English,
540,default,25,Yes,,Male,English,
503,default,37,Yes,It was interesting. Thank you for the opportunity.,Male,English,
506,default,33,Yes,,Male,english,
530,default,34,Yes,,Male,English,
569,default,22,Yes,,Male,English,
423,default,30,Yes,,Female,,
370,default,34,Yes,,Female,English,
401,default,41,Yes,,Female,English,
369,default,18,Yes,,Female,English,
430,default,58,Yes,,Male,english,
592,default,25,Yes,,Female,english,
502,default,27,Yes,,Female,English,
433,default,40,Yes,nice,Male,einglish,
469,default,67,Yes,"a bit tedious, but ultimately interesting.",Female,English,
588,default,35,Yes,,Male,English,
631,default,19,Yes,,Male,English,
511,default,20,Yes,No comment.,Male,English,
621,default,20,Yes,,Female,english,
553,default,48,Yes,none,Female,English,
532,default,21,Yes,no,Female,english,
384,default,41,Yes,,Female,English,
644,default,39,Yes,very good.,Male,English,
636,default,33,Yes,,Male,English Language ,
402,default,23,Yes,,Male,English,
672,default,24,Yes,,Male,English,
662,default,59,Yes,,Female,English,
520,default,69,Yes,I wonder how many people begin their sentences with 'Perhaps' when they're talking about another person's knowledge.,Female,English,
670,default,26,Yes,,Male,English,
368,default,33,Yes,,Female,english,
682,default,26,Yes,,Male,English,
655,default,33,Yes,,Female,English,
565,default,18,Yes,N/A,Female,English,
681,default,19,Yes,,Male,english,
463,default,36,Yes,,Female,English,
524,default,18,Yes,,Male,English,
440,default,22,Yes,,Female,English,
518,default,21,Yes,,Female,english,
536,default,28,Yes,n/a,Female,english,
466,default,39,Yes,,Male,English,
523,default,61,Yes,,Female,English,
661,default,26,Yes,none,Male,English,
686,default,18,Yes,,Female,English,
371,default,44,Yes,,Female,english,
574,default,18,Yes,,Male,English ,
422,default,26,Yes,I really enjoyed the study.,Female,English,
561,default,36,Yes,,Male,English,
375,default,20,Yes,,Male,English,
552,default,32,Yes,,Female,English,
493,default,35,Yes,None. I find it interesting and would love to participate in future studies,Female,English,
473,default,22,Yes,,Male,English,
500,default,28,Yes,,Female,English ,
617,default,27,Yes,,Male,English,
634,default,23,Yes,really made me think,Male,English,
645,default,58,Yes,No issues.,Male,English,
596,default,20,Yes,,Other,English,
664,default,28,Yes,Weird questions,Female,ENGLISH,
513,default,30,Yes,,Male,English,
424,default,38,Yes,,Male,English,
474,default,19,Yes,I feel like most of the answers to the questions were all the same.,Male,english,
600,default,30,Yes,"Very interesting survey! Tricky wording. I'm currently trying to teach a native Arabic speaker English, and these are great examples of why it is so hard! Be well.",Female,English,
657,default,20,Yes,,Male,English,
389,default,23,Yes,,Male,English,
691,default,,Yes,,Female,English ,
538,default,22,Yes,no comment,Female,English,
663,default,48,Yes,The scale of certainty was a little confusing.,Male,English,
484,default,32,Yes,,Male,english,
488,default,19,Yes,,Female,English,
541,default,32,Yes,,Female,english,
688,default,33,Yes,,Male,English,
615,default,51,Yes,,Male,English ,
651,default,54,Yes,"Those were weird statements that no one would ever make so it was a little tricky.  Also, when the askers asked ""Are you sure?"" we don't know what they were asking because they weren't clear/explicit.  So that's why I marked a bunch of them right down the middle.  ",Female,English,
457,default,37,Yes,,Male,English,
