workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,catch_trials,subject_information.age,subject_information.american,subject_information.comments,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
907,default,block1,josh,ai,0.03,30834,be_annoyed,5,be_annoyed,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,josie,ai,0,15031,reveal,6,reveal,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,julian,ai,0,22741,admit,7,admit,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,ballet,ai,0.98,21735,MC,8,MC,MC,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,jon,ai,0.02,11548,discover,9,discover,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,jackson,ai,0.01,15144,see,10,see,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,charley,ai,0.04,9299,prove,11,prove,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,owen,ai,0.02,14665,be_right,12,be_right,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,isabella,ai,0.02,10049,acknowledge,13,acknowledge,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,frank,ai,0,10341,say,14,say,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,mia,ai,0,12937,demonstrate,15,demonstrate,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,tony,ai,0.01,37910,think,16,think,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,hat,ai,1,13076,MC,17,MC,MC,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,emily,ai,0,8852,pretend,18,pretend,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,muffins,ai,1,11028,MC,19,MC,MC,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,mary,ai,0,14744,announce,20,announce,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,olivia,ai,0,10060,hear,21,hear,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,pizza,ai,1,13417,MC,22,MC,MC,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,kids,ai,1,15792,MC,23,MC,MC,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,grace,ai,0,9454,know,24,know,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,sophia,ai,0,9705,inform,25,inform,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,jayden,ai,0,8652,confirm,26,confirm,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
907,default,block1,emma,ai,0,7811,confess,27,confess,C,[],62,Yes,,Female,English,Chrome,Windows,768,1366,12.890083333333331,
