workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,comments,gender,language,error.y,trial
1833,default,block1,hat,projective,1,5593,MC,5,MC,MC,NA,default,29,Yes,NA,Female,english,NA,1
1833,default,block1,pizza,projective,1,7798,MC,6,MC,MC,NA,default,29,Yes,NA,Female,english,NA,2
1833,default,block1,danny,projective,0,11543,establish,7,establish,C,NA,default,29,Yes,NA,Female,english,NA,3
1833,default,block1,muffins,projective,1,6108,MC,8,MC,MC,NA,default,29,Yes,NA,Female,english,NA,4
1833,default,block1,ballet,projective,1,6522,MC,9,MC,MC,NA,default,29,Yes,NA,Female,english,NA,5
1833,default,block1,emily,projective,0.22,17188,announce,10,announce,C,NA,default,29,Yes,NA,Female,english,NA,6
1833,default,block1,tony,projective,0.3,6968,hear,11,hear,C,NA,default,29,Yes,NA,Female,english,NA,7
1833,default,block1,garage,projective,0.91,8368,MC,12,MC,MC,NA,default,29,Yes,NA,Female,english,NA,8
1833,default,block1,zoe,projective,0.21,22233,demonstrate,13,demonstrate,C,NA,default,29,Yes,NA,Female,english,NA,9
1833,default,block1,sophia,projective,0.64,8854,think,14,think,C,NA,default,29,Yes,NA,Female,english,NA,10
1833,default,block1,olivia,projective,0.18,6026,confess,15,confess,C,NA,default,29,Yes,NA,Female,english,NA,11
1833,default,block1,josie,projective,1,69119,be_annoyed,16,be_annoyed,C,NA,default,29,Yes,NA,Female,english,NA,12
1833,default,block1,frank,projective,1,5588,inform,17,inform,C,NA,default,29,Yes,NA,Female,english,NA,13
1833,default,block1,jon,projective,0.78,4778,discover,18,discover,C,NA,default,29,Yes,NA,Female,english,NA,14
1833,default,block1,julian,projective,1,4454,know,19,know,C,NA,default,29,Yes,NA,Female,english,NA,15
1833,default,block1,jayden,projective,1,6782,acknowledge,20,acknowledge,C,NA,default,29,Yes,NA,Female,english,NA,16
1833,default,block1,jackson,projective,0.37,17833,reveal,21,reveal,C,NA,default,29,Yes,NA,Female,english,NA,17
1833,default,block1,isabella,projective,0.23,24466,confirm,22,confirm,C,NA,default,29,Yes,NA,Female,english,NA,18
1833,default,block1,charley,projective,0.6,4308,admit,23,admit,C,NA,default,29,Yes,NA,Female,english,NA,19
1833,default,block1,emma,projective,0.26,5830,suggest,24,suggest,C,NA,default,29,Yes,NA,Female,english,NA,20
1833,default,block1,owen,projective,0.6,28609,see,25,see,C,NA,default,29,Yes,NA,Female,english,NA,21
1833,default,block1,josh,projective,0.24,15394,say,26,say,C,NA,default,29,Yes,NA,Female,english,NA,22
1833,default,block1,mia,projective,0.13,8214,prove,27,prove,C,NA,default,29,Yes,NA,Female,english,NA,23
1833,default,block1,kids,projective,1,11528,MC,28,MC,MC,NA,default,29,Yes,NA,Female,english,NA,24
1833,default,block1,grace,projective,0.27,33984,pretend,29,pretend,C,NA,default,29,Yes,NA,Female,english,NA,25
1833,default,block1,mary,projective,0,4720,be_right,30,be_right,C,NA,default,29,Yes,NA,Female,english,NA,26
1833,default,block2,kids,ai,1,7887,MC,32,MC,MC,NA,default,29,Yes,NA,Female,english,NA,27
1833,default,block2,tony,ai,0,5538,hear,33,hear,C,NA,default,29,Yes,NA,Female,english,NA,28
1833,default,block2,owen,ai,0.14,6258,see,34,see,C,NA,default,29,Yes,NA,Female,english,NA,29
1833,default,block2,zoe,ai,0.69,7052,demonstrate,35,demonstrate,C,NA,default,29,Yes,NA,Female,english,NA,30
1833,default,block2,emily,ai,0.24,10242,announce,36,announce,C,NA,default,29,Yes,NA,Female,english,NA,31
1833,default,block2,mary,ai,0.21999999999999997,6092,be_right,37,be_right,C,NA,default,29,Yes,NA,Female,english,NA,32
1833,default,block2,olivia,ai,0.06999999999999995,5668,confess,38,confess,C,NA,default,29,Yes,NA,Female,english,NA,33
1833,default,block2,charley,ai,0.14,4560,admit,39,admit,C,NA,default,29,Yes,NA,Female,english,NA,34
1833,default,block2,emma,ai,0.010000000000000009,4784,suggest,40,suggest,C,NA,default,29,Yes,NA,Female,english,NA,35
