workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,comments,gender,language,error.y,trial
2186,default,block1,sophia,projective,1,21201,announce,5,announce,C,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,1
2186,default,block1,isabella,projective,1,24076,be_annoyed,6,be_annoyed,C,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,2
2186,default,block1,pizza,projective,1,9487,MC,7,MC,MC,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,3
2186,default,block1,julian,projective,0.61,12130,establish,8,establish,C,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,4
2186,default,block1,jayden,projective,0.79,11019,confirm,9,confirm,C,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,5
2186,default,block1,josh,projective,0.34,9361,admit,10,admit,C,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,6
2186,default,block1,hat,projective,1,5818,MC,11,MC,MC,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,7
2186,default,block1,ballet,projective,1,6169,MC,12,MC,MC,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,8
2186,default,block1,jackson,projective,0.24,10747,be_right,13,be_right,C,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,9
2186,default,block1,olivia,projective,0,8189,pretend,14,pretend,C,NA,default,37,Yes,I was not sure which questions were the attention checks that was mentioned with be present but I did my best to analyze each question honestly.,Male,English,NA,10
