workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,comments,gender,language,error.y,trial
3228,default,block1,jackson,ai,0.79,11124,acknowledge,5,acknowledge,C,NA,default,25,Yes,NA,Female,English,NA,1
3228,default,block1,owen,ai,0.43999999999999995,13321,be_right,6,be_right,C,NA,default,25,Yes,NA,Female,English,NA,2
3228,default,block1,frank,ai,0.76,7149,hear,7,hear,C,NA,default,25,Yes,NA,Female,English,NA,3
3228,default,block1,josie,ai,1,9088,suggest,8,suggest,C,NA,default,25,Yes,NA,Female,English,NA,4
3228,default,block1,ballet,ai,0.030000000000000027,6550,MC,9,MC,MC,NA,default,25,Yes,NA,Female,English,NA,5
3228,default,block1,josh,ai,0.9,7961,inform,10,inform,C,NA,default,25,Yes,NA,Female,English,NA,6
3228,default,block1,emily,ai,0.9299999999999999,7232,reveal,11,reveal,C,NA,default,25,Yes,NA,Female,English,NA,7
3228,default,block1,jon,ai,0.89,5789,announce,12,announce,C,NA,default,25,Yes,NA,Female,English,NA,8
3228,default,block1,hat,ai,0.12,7653,MC,13,MC,MC,NA,default,25,Yes,NA,Female,English,NA,9
3228,default,block1,jayden,ai,0.85,5294,think,14,think,C,NA,default,25,Yes,NA,Female,English,NA,10
3228,default,block1,mia,ai,0.91,8505,confirm,15,confirm,C,NA,default,25,Yes,NA,Female,English,NA,11
3228,default,block1,isabella,ai,0.9,5403,say,16,say,C,NA,default,25,Yes,NA,Female,English,NA,12
3228,default,block1,muffins,ai,0.06000000000000005,8607,MC,17,MC,MC,NA,default,25,Yes,NA,Female,English,NA,13
3228,default,block1,zoe,ai,0.91,6339,confess,18,confess,C,NA,default,25,Yes,NA,Female,English,NA,14
3228,default,block1,tony,ai,0.9,7522,prove,19,prove,C,NA,default,25,Yes,NA,Female,English,NA,15
3228,default,block1,olivia,ai,0.9,8768,see,20,see,C,NA,default,25,Yes,NA,Female,English,NA,16
3228,default,block1,garage,ai,0.27,5616,MC,21,MC,MC,NA,default,25,Yes,NA,Female,English,NA,17
3228,default,block1,kids,ai,0.10999999999999999,4562,MC,22,MC,MC,NA,default,25,Yes,NA,Female,English,NA,18
3228,default,block1,charley,ai,0.88,7684,discover,23,discover,C,NA,default,25,Yes,NA,Female,English,NA,19
3228,default,block1,julian,ai,0.84,5114,pretend,24,pretend,C,NA,default,25,Yes,NA,Female,English,NA,20
3228,default,block1,grace,ai,0.98,7506,establish,25,establish,C,NA,default,25,Yes,NA,Female,English,NA,21
3228,default,block1,sophia,ai,0.86,5996,know,26,know,C,NA,default,25,Yes,NA,Female,English,NA,22
3228,default,block1,danny,ai,0.97,4123,demonstrate,27,demonstrate,C,NA,default,25,Yes,NA,Female,English,NA,23
3228,default,block1,emma,ai,0.97,7230,admit,28,admit,C,NA,default,25,Yes,NA,Female,English,NA,24
3228,default,block1,pizza,ai,0.14,14113,MC,29,MC,MC,NA,default,25,Yes,NA,Female,English,NA,25
3228,default,block1,mary,ai,0.91,5853,be_annoyed,30,be_annoyed,C,NA,default,25,Yes,NA,Female,English,NA,26
3228,default,block2,jackson,projective,0.19,7074,acknowledge,32,acknowledge,C,NA,default,25,Yes,NA,Female,English,NA,27
3228,default,block2,julian,projective,0.01,5356,pretend,33,pretend,C,NA,default,25,Yes,NA,Female,English,NA,28
3228,default,block2,tony,projective,0.32,6603,prove,34,prove,C,NA,default,25,Yes,NA,Female,English,NA,29
3228,default,block2,owen,projective,0.22,4536,be_right,35,be_right,C,NA,default,25,Yes,NA,Female,English,NA,30
3228,default,block2,sophia,projective,0.8,3298,know,36,know,C,NA,default,25,Yes,NA,Female,English,NA,31
3228,default,block2,josh,projective,0.79,6688,inform,37,inform,C,NA,default,25,Yes,NA,Female,English,NA,32
3228,default,block2,hat,projective,0.73,3120,MC,38,MC,MC,NA,default,25,Yes,NA,Female,English,NA,33
3228,default,block2,frank,projective,0.86,4495,hear,39,hear,C,NA,default,25,Yes,NA,Female,English,NA,34
3228,default,block2,olivia,projective,0.77,4327,see,40,see,C,NA,default,25,Yes,NA,Female,English,NA,35
3228,default,block2,emma,projective,0.79,4700,admit,41,admit,C,NA,default,25,Yes,NA,Female,English,NA,36
3228,default,block2,emily,projective,0.75,4197,reveal,42,reveal,C,NA,default,25,Yes,NA,Female,English,NA,37
3228,default,block2,kids,projective,0.75,3978,MC,43,MC,MC,NA,default,25,Yes,NA,Female,English,NA,38
3228,default,block2,mia,projective,0.18,3988,confirm,44,confirm,C,NA,default,25,Yes,NA,Female,English,NA,39
3228,default,block2,isabella,projective,0.14,4885,say,45,say,C,NA,default,25,Yes,NA,Female,English,NA,40
3228,default,block2,mary,projective,0.85,5007,be_annoyed,46,be_annoyed,C,NA,default,25,Yes,NA,Female,English,NA,41
3228,default,block2,josie,projective,0.03,4232,suggest,47,suggest,C,NA,default,25,Yes,NA,Female,English,NA,42
3228,default,block2,danny,projective,0.18,3613,demonstrate,48,demonstrate,C,NA,default,25,Yes,NA,Female,English,NA,43
3228,default,block2,garage,projective,0.85,3987,MC,49,MC,MC,NA,default,25,Yes,NA,Female,English,NA,44
