workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,comments,gender,language,error.y,trial
2411,default,block1,mia,ai,0.98,9912,inform,5,inform,C,NA,default,29,Yes,NA,Male,english,NA,1
2411,default,block1,emily,ai,0.99,6732,hear,6,hear,C,NA,default,29,Yes,NA,Male,english,NA,2
2411,default,block1,ballet,ai,0.98,7143,MC,7,MC,MC,NA,default,29,Yes,NA,Male,english,NA,3
2411,default,block1,tony,ai,0.98,5445,pretend,8,pretend,C,NA,default,29,Yes,NA,Male,english,NA,4
2411,default,block1,sophia,ai,0.99,5202,know,9,know,C,NA,default,29,Yes,NA,Male,english,NA,5
2411,default,block1,isabella,ai,0.97,7247,suggest,10,suggest,C,NA,default,29,Yes,NA,Male,english,NA,6
2411,default,block1,frank,ai,0.99,4474,be_annoyed,11,be_annoyed,C,NA,default,29,Yes,NA,Male,english,NA,7
2411,default,block1,grace,ai,0.98,5291,reveal,12,reveal,C,NA,default,29,Yes,NA,Male,english,NA,8
2411,default,block1,emma,ai,0.99,7766,announce,13,announce,C,NA,default,29,Yes,NA,Male,english,NA,9
2411,default,block1,garage,ai,0.51,14538,MC,14,MC,MC,NA,default,29,Yes,NA,Male,english,NA,10
2411,default,block1,zoe,ai,0.97,4142,confirm,15,confirm,C,NA,default,29,Yes,NA,Male,english,NA,11
2411,default,block1,muffins,ai,0.53,5328,MC,16,MC,MC,NA,default,29,Yes,NA,Male,english,NA,12
2411,default,block1,jayden,ai,0.97,5050,be_right,17,be_right,C,NA,default,29,Yes,NA,Male,english,NA,13
2411,default,block1,jackson,ai,0.97,5270,acknowledge,18,acknowledge,C,NA,default,29,Yes,NA,Male,english,NA,14
2411,default,block1,mary,ai,0.98,5219,establish,19,establish,C,NA,default,29,Yes,NA,Male,english,NA,15
2411,default,block1,olivia,ai,0.96,5251,discover,20,discover,C,NA,default,29,Yes,NA,Male,english,NA,16
2411,default,block1,josh,ai,0.98,7213,think,21,think,C,NA,default,29,Yes,NA,Male,english,NA,17
2411,default,block1,danny,ai,1,6977,say,22,say,C,NA,default,29,Yes,NA,Male,english,NA,18
2411,default,block1,josie,ai,0.98,5535,see,23,see,C,NA,default,29,Yes,NA,Male,english,NA,19
2411,default,block1,kids,ai,0.5,5313,MC,24,MC,MC,NA,default,29,Yes,NA,Male,english,NA,20
2411,default,block1,pizza,ai,0.47,6588,MC,25,MC,MC,NA,default,29,Yes,NA,Male,english,NA,21
2411,default,block1,julian,ai,0.99,4862,admit,26,admit,C,NA,default,29,Yes,NA,Male,english,NA,22
2411,default,block1,charley,ai,0.99,4708,demonstrate,27,demonstrate,C,NA,default,29,Yes,NA,Male,english,NA,23
2411,default,block1,hat,ai,0.48,4035,MC,28,MC,MC,NA,default,29,Yes,NA,Male,english,NA,24
2411,default,block1,owen,ai,0.98,6711,prove,29,prove,C,NA,default,29,Yes,NA,Male,english,NA,25
2411,default,block1,jon,ai,0.97,3639,confess,30,confess,C,NA,default,29,Yes,NA,Male,english,NA,26
2411,default,block2,garage,projective,0.23,8854,MC,32,MC,MC,NA,default,29,Yes,NA,Male,english,NA,27
2411,default,block2,tony,projective,0.34,6492,pretend,33,pretend,C,NA,default,29,Yes,NA,Male,english,NA,28
2411,default,block2,jon,projective,0.35,5922,confess,34,confess,C,NA,default,29,Yes,NA,Male,english,NA,29
2411,default,block2,emily,projective,0.72,7352,hear,35,hear,C,NA,default,29,Yes,NA,Male,english,NA,30
2411,default,block2,mary,projective,0.48,3109,establish,36,establish,C,NA,default,29,Yes,NA,Male,english,NA,31
2411,default,block2,mia,projective,0.91,11541,inform,37,inform,C,NA,default,29,Yes,NA,Male,english,NA,32
2411,default,block2,grace,projective,0.85,7107,reveal,38,reveal,C,NA,default,29,Yes,NA,Male,english,NA,33
2411,default,block2,zoe,projective,0.49,5355,confirm,39,confirm,C,NA,default,29,Yes,NA,Male,english,NA,34
2411,default,block2,julian,projective,0.29,11310,admit,40,admit,C,NA,default,29,Yes,NA,Male,english,NA,35
2411,default,block2,josie,projective,0.93,8573,see,41,see,C,NA,default,29,Yes,NA,Male,english,NA,36
2411,default,block2,muffins,projective,0.28,6345,MC,42,MC,MC,NA,default,29,Yes,NA,Male,english,NA,37
2411,default,block2,owen,projective,0.5,4021,prove,43,prove,C,NA,default,29,Yes,NA,Male,english,NA,38
2411,default,block2,hat,projective,0.22,6158,MC,44,MC,MC,NA,default,29,Yes,NA,Male,english,NA,39
2411,default,block2,sophia,projective,0.96,4948,know,45,know,C,NA,default,29,Yes,NA,Male,english,NA,40
2411,default,block2,isabella,projective,0.38,8259,suggest,46,suggest,C,NA,default,29,Yes,NA,Male,english,NA,41
2411,default,block2,emma,projective,0.29,6421,announce,47,announce,C,NA,default,29,Yes,NA,Male,english,NA,42
2411,default,block2,jayden,projective,0.22,4550,be_right,48,be_right,C,NA,default,29,Yes,NA,Male,english,NA,43
2411,default,block2,olivia,projective,0.56,5163,discover,49,discover,C,NA,default,29,Yes,NA,Male,english,NA,44
2411,default,block2,charley,projective,0.5,4021,demonstrate,50,demonstrate,C,NA,default,29,Yes,NA,Male,english,NA,45
2411,default,block2,frank,projective,0.96,6279,be_annoyed,51,be_annoyed,C,NA,default,29,Yes,NA,Male,english,NA,46
2411,default,block2,ballet,projective,0.33,4185,MC,52,MC,MC,NA,default,29,Yes,NA,Male,english,NA,47
2411,default,block2,josh,projective,0.41,4273,think,53,think,C,NA,default,29,Yes,NA,Male,english,NA,48
2411,default,block2,danny,projective,0.3,5325,say,54,say,C,NA,default,29,Yes,NA,Male,english,NA,49
2411,default,block2,kids,projective,0.29,5374,MC,55,MC,MC,NA,default,29,Yes,NA,Male,english,NA,50
2411,default,block2,jackson,projective,0.97,6167,acknowledge,56,acknowledge,C,NA,default,29,Yes,NA,Male,english,NA,51
2411,default,block2,pizza,projective,0.33,7893,MC,57,MC,MC,NA,default,29,Yes,NA,Male,english,NA,52
2444,default,block1,owen,ai,1,8271,suggest,5,suggest,C,NA,default,21,Yes,No comment.,Male,English,NA,1
2444,default,block1,jon,ai,1,5904,demonstrate,6,demonstrate,C,NA,default,21,Yes,No comment.,Male,English,NA,2
2444,default,block1,emma,ai,1,16400,see,7,see,C,NA,default,21,Yes,No comment.,Male,English,NA,3
2444,default,block1,pizza,ai,0.18000000000000005,11351,MC,8,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,4
2444,default,block1,jayden,ai,1,5560,think,9,think,C,NA,default,21,Yes,No comment.,Male,English,NA,5
2444,default,block1,kids,ai,0,8304,MC,10,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,6
2444,default,block1,mary,ai,1,5239,confess,11,confess,C,NA,default,21,Yes,No comment.,Male,English,NA,7
2444,default,block1,ballet,ai,0,5824,MC,12,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,8
2444,default,block1,isabella,ai,1,7032,say,13,say,C,NA,default,21,Yes,No comment.,Male,English,NA,9
2444,default,block1,garage,ai,0,8064,MC,14,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,10
2444,default,block1,olivia,ai,1,5167,confirm,15,confirm,C,NA,default,21,Yes,No comment.,Male,English,NA,11
2444,default,block1,sophia,ai,1,12807,inform,16,inform,C,NA,default,21,Yes,No comment.,Male,English,NA,12
2444,default,block1,josh,ai,1,9712,hear,17,hear,C,NA,default,21,Yes,No comment.,Male,English,NA,13
2444,default,block1,zoe,ai,1,3926,establish,18,establish,C,NA,default,21,Yes,No comment.,Male,English,NA,14
2444,default,block1,charley,ai,1,6368,announce,19,announce,C,NA,default,21,Yes,No comment.,Male,English,NA,15
2444,default,block1,grace,ai,1,3144,prove,20,prove,C,NA,default,21,Yes,No comment.,Male,English,NA,16
2444,default,block1,tony,ai,1,5016,be_annoyed,21,be_annoyed,C,NA,default,21,Yes,No comment.,Male,English,NA,17
2444,default,block1,julian,ai,1,4184,acknowledge,22,acknowledge,C,NA,default,21,Yes,No comment.,Male,English,NA,18
2444,default,block1,danny,ai,1,3424,admit,23,admit,C,NA,default,21,Yes,No comment.,Male,English,NA,19
2444,default,block1,emily,ai,0.99,5096,be_right,24,be_right,C,NA,default,21,Yes,No comment.,Male,English,NA,20
2444,default,block1,muffins,ai,0,8903,MC,25,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,21
2444,default,block1,josie,ai,1,4616,know,26,know,C,NA,default,21,Yes,No comment.,Male,English,NA,22
2444,default,block1,frank,ai,1,3440,discover,27,discover,C,NA,default,21,Yes,No comment.,Male,English,NA,23
2444,default,block1,hat,ai,0,5432,MC,28,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,24
2444,default,block1,jackson,ai,1,6511,pretend,29,pretend,C,NA,default,21,Yes,No comment.,Male,English,NA,25
2444,default,block1,mia,ai,1,8263,reveal,30,reveal,C,NA,default,21,Yes,No comment.,Male,English,NA,26
2444,default,block2,josie,projective,0,6302,know,32,know,C,NA,default,21,Yes,No comment.,Male,English,NA,27
2444,default,block2,charley,projective,1,7816,announce,33,announce,C,NA,default,21,Yes,No comment.,Male,English,NA,28
2444,default,block2,muffins,projective,0,6768,MC,34,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,29
2444,default,block2,jayden,projective,1,6919,think,35,think,C,NA,default,21,Yes,No comment.,Male,English,NA,30
2444,default,block2,sophia,projective,1,5799,inform,36,inform,C,NA,default,21,Yes,No comment.,Male,English,NA,31
2444,default,block2,josh,projective,1,4608,hear,37,hear,C,NA,default,21,Yes,No comment.,Male,English,NA,32
2444,default,block2,mary,projective,1,5560,confess,38,confess,C,NA,default,21,Yes,No comment.,Male,English,NA,33
2444,default,block2,julian,projective,1,4991,acknowledge,39,acknowledge,C,NA,default,21,Yes,No comment.,Male,English,NA,34
2444,default,block2,jackson,projective,0,4600,pretend,40,pretend,C,NA,default,21,Yes,No comment.,Male,English,NA,35
2444,default,block2,owen,projective,0,10599,suggest,41,suggest,C,NA,default,21,Yes,No comment.,Male,English,NA,36
2444,default,block2,olivia,projective,0.68,5872,confirm,42,confirm,C,NA,default,21,Yes,No comment.,Male,English,NA,37
2444,default,block2,ballet,projective,0,4280,MC,43,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,38
2444,default,block2,jon,projective,0,4551,demonstrate,44,demonstrate,C,NA,default,21,Yes,No comment.,Male,English,NA,39
2444,default,block2,isabella,projective,0,9832,say,45,say,C,NA,default,21,Yes,No comment.,Male,English,NA,40
2444,default,block2,danny,projective,1,4056,admit,46,admit,C,NA,default,21,Yes,No comment.,Male,English,NA,41
2444,default,block2,emily,projective,0,7016,be_right,47,be_right,C,NA,default,21,Yes,No comment.,Male,English,NA,42
2444,default,block2,grace,projective,0,6264,prove,48,prove,C,NA,default,21,Yes,No comment.,Male,English,NA,43
2444,default,block2,pizza,projective,0,6920,MC,49,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,44
2444,default,block2,kids,projective,0,23335,MC,50,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,45
2444,default,block2,tony,projective,1,6232,be_annoyed,51,be_annoyed,C,NA,default,21,Yes,No comment.,Male,English,NA,46
2444,default,block2,mia,projective,1,3407,reveal,52,reveal,C,NA,default,21,Yes,No comment.,Male,English,NA,47
2444,default,block2,frank,projective,1,4488,discover,53,discover,C,NA,default,21,Yes,No comment.,Male,English,NA,48
2444,default,block2,garage,projective,0,4720,MC,54,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,49
2444,default,block2,hat,projective,0,3776,MC,55,MC,MC,NA,default,21,Yes,No comment.,Male,English,NA,50
2444,default,block2,emma,projective,1,6504,see,56,see,C,NA,default,21,Yes,No comment.,Male,English,NA,51
2444,default,block2,zoe,projective,0,5176,establish,57,establish,C,NA,default,21,Yes,No comment.,Male,English,NA,52
2319,default,block1,grace,projective,0.24,9302,say,5,say,C,NA,default,21,Yes,NA,Other,English,NA,1
2319,default,block1,mary,projective,0.09,8037,prove,6,prove,C,NA,default,21,Yes,NA,Other,English,NA,2
2319,default,block1,kids,projective,0.11,12973,MC,7,MC,MC,NA,default,21,Yes,NA,Other,English,NA,3
2319,default,block1,muffins,projective,0.18,7218,MC,8,MC,MC,NA,default,21,Yes,NA,Other,English,NA,4
2319,default,block1,josh,projective,0.57,11153,confirm,9,confirm,C,NA,default,21,Yes,NA,Other,English,NA,5
2319,default,block1,jackson,projective,0.54,7183,be_right,10,be_right,C,NA,default,21,Yes,NA,Other,English,NA,6
2319,default,block1,julian,projective,0.41,8765,see,11,see,C,NA,default,21,Yes,NA,Other,English,NA,7
2319,default,block1,charley,projective,0.97,9409,acknowledge,12,acknowledge,C,NA,default,21,Yes,NA,Other,English,NA,8
2319,default,block1,jayden,projective,0.83,9324,admit,13,admit,C,NA,default,21,Yes,NA,Other,English,NA,9
2319,default,block1,zoe,projective,1,9347,hear,14,hear,C,NA,default,21,Yes,NA,Other,English,NA,10
2319,default,block1,josie,projective,1,5603,think,15,think,C,NA,default,21,Yes,NA,Other,English,NA,11
2319,default,block1,isabella,projective,0.78,7608,confess,16,confess,C,NA,default,21,Yes,NA,Other,English,NA,12
2319,default,block1,jon,projective,0.38,9841,pretend,17,pretend,C,NA,default,21,Yes,NA,Other,English,NA,13
2319,default,block1,hat,projective,0.27,7341,MC,18,MC,MC,NA,default,21,Yes,NA,Other,English,NA,14
2319,default,block1,owen,projective,0.39,5606,announce,19,announce,C,NA,default,21,Yes,NA,Other,English,NA,15
2319,default,block1,emily,projective,1,12043,be_annoyed,20,be_annoyed,C,NA,default,21,Yes,NA,Other,English,NA,16
2319,default,block1,sophia,projective,1,3320,discover,21,discover,C,NA,default,21,Yes,NA,Other,English,NA,17
2319,default,block1,frank,projective,1,4465,establish,22,establish,C,NA,default,21,Yes,NA,Other,English,NA,18
2319,default,block1,emma,projective,1,5042,inform,23,inform,C,NA,default,21,Yes,NA,Other,English,NA,19
2319,default,block1,danny,projective,0.88,4562,reveal,24,reveal,C,NA,default,21,Yes,NA,Other,English,NA,20
2319,default,block1,garage,projective,0.23,6348,MC,25,MC,MC,NA,default,21,Yes,NA,Other,English,NA,21
2319,default,block1,olivia,projective,1,6027,know,26,know,C,NA,default,21,Yes,NA,Other,English,NA,22
2319,default,block1,mia,projective,0.85,7544,demonstrate,27,demonstrate,C,NA,default,21,Yes,NA,Other,English,NA,23
2319,default,block1,ballet,projective,0.17,6671,MC,28,MC,MC,NA,default,21,Yes,NA,Other,English,NA,24
2319,default,block1,pizza,projective,0.51,10615,MC,29,MC,MC,NA,default,21,Yes,NA,Other,English,NA,25
2319,default,block1,tony,projective,0.39,4437,suggest,30,suggest,C,NA,default,21,Yes,NA,Other,English,NA,26
2319,default,block2,josh,ai,1,10404,confirm,32,confirm,C,NA,default,21,Yes,NA,Other,English,NA,27
2319,default,block2,charley,ai,0.98,4750,acknowledge,33,acknowledge,C,NA,default,21,Yes,NA,Other,English,NA,28
2319,default,block2,jackson,ai,1,5249,be_right,34,be_right,C,NA,default,21,Yes,NA,Other,English,NA,29
2319,default,block2,sophia,ai,1,5859,discover,35,discover,C,NA,default,21,Yes,NA,Other,English,NA,30
2319,default,block2,garage,ai,0,6802,MC,36,MC,MC,NA,default,21,Yes,NA,Other,English,NA,31
2319,default,block2,pizza,ai,0.36,5145,MC,37,MC,MC,NA,default,21,Yes,NA,Other,English,NA,32
2319,default,block2,grace,ai,1,5425,say,38,say,C,NA,default,21,Yes,NA,Other,English,NA,33
2319,default,block2,tony,ai,1,5428,suggest,39,suggest,C,NA,default,21,Yes,NA,Other,English,NA,34
2319,default,block2,olivia,ai,1,4980,know,40,know,C,NA,default,21,Yes,NA,Other,English,NA,35
2319,default,block2,emma,ai,1,5913,inform,41,inform,C,NA,default,21,Yes,NA,Other,English,NA,36
2319,default,block2,josie,ai,1,4613,think,42,think,C,NA,default,21,Yes,NA,Other,English,NA,37
2319,default,block2,mia,ai,1,3653,demonstrate,43,demonstrate,C,NA,default,21,Yes,NA,Other,English,NA,38
2319,default,block2,owen,ai,1,3629,announce,44,announce,C,NA,default,21,Yes,NA,Other,English,NA,39
2319,default,block2,zoe,ai,1,4847,hear,45,hear,C,NA,default,21,Yes,NA,Other,English,NA,40
2319,default,block2,emily,ai,0.98,3985,be_annoyed,46,be_annoyed,C,NA,default,21,Yes,NA,Other,English,NA,41
2319,default,block2,julian,ai,1,3999,see,47,see,C,NA,default,21,Yes,NA,Other,English,NA,42
2319,default,block2,jon,ai,1,8005,pretend,48,pretend,C,NA,default,21,Yes,NA,Other,English,NA,43
2319,default,block2,hat,ai,0.010000000000000009,5315,MC,49,MC,MC,NA,default,21,Yes,NA,Other,English,NA,44
2319,default,block2,danny,ai,1,4371,reveal,50,reveal,C,NA,default,21,Yes,NA,Other,English,NA,45
2319,default,block2,kids,ai,0,4956,MC,51,MC,MC,NA,default,21,Yes,NA,Other,English,NA,46
2319,default,block2,mary,ai,1,6273,prove,52,prove,C,NA,default,21,Yes,NA,Other,English,NA,47
2319,default,block2,frank,ai,1,7541,establish,53,establish,C,NA,default,21,Yes,NA,Other,English,NA,48
2319,default,block2,muffins,ai,0.26,4465,MC,54,MC,MC,NA,default,21,Yes,NA,Other,English,NA,49
2319,default,block2,ballet,ai,0,4799,MC,55,MC,MC,NA,default,21,Yes,NA,Other,English,NA,50
2319,default,block2,isabella,ai,1,4304,confess,56,confess,C,NA,default,21,Yes,NA,Other,English,NA,51
2319,default,block2,jayden,ai,1,4908,admit,57,admit,C,NA,default,21,Yes,NA,Other,English,NA,52
2267,default,block1,josie,projective,0.03,28245,confirm,5,confirm,C,NA,default,22,Yes,NA,Male,English,NA,1
2267,default,block1,owen,projective,0.08,13660,think,6,think,C,NA,default,22,Yes,NA,Male,English,NA,2
2267,default,block1,isabella,projective,0.98,9966,be_annoyed,7,be_annoyed,C,NA,default,22,Yes,NA,Male,English,NA,3
2267,default,block1,mia,projective,0.07,8740,establish,8,establish,C,NA,default,22,Yes,NA,Male,English,NA,4
2267,default,block1,olivia,projective,0.94,5268,announce,9,announce,C,NA,default,22,Yes,NA,Male,English,NA,5
2267,default,block1,hat,projective,0.03,5872,MC,10,MC,MC,NA,default,22,Yes,NA,Male,English,NA,6
2267,default,block1,zoe,projective,0.08,5320,pretend,11,pretend,C,NA,default,22,Yes,NA,Male,English,NA,7
2267,default,block1,sophia,projective,0.96,4870,acknowledge,12,acknowledge,C,NA,default,22,Yes,NA,Male,English,NA,8
2267,default,block1,emma,projective,0.99,4819,discover,13,discover,C,NA,default,22,Yes,NA,Male,English,NA,9
2267,default,block1,garage,projective,0.03,5939,MC,14,MC,MC,NA,default,22,Yes,NA,Male,English,NA,10
2267,default,block1,danny,projective,0.06,6923,demonstrate,15,demonstrate,C,NA,default,22,Yes,NA,Male,English,NA,11
2267,default,block1,julian,projective,0.97,8714,admit,16,admit,C,NA,default,22,Yes,NA,Male,English,NA,12
2267,default,block1,jon,projective,0.94,4059,confess,17,confess,C,NA,default,22,Yes,NA,Male,English,NA,13
2267,default,block1,tony,projective,0.09,4987,suggest,18,suggest,C,NA,default,22,Yes,NA,Male,English,NA,14
2267,default,block1,grace,projective,0.96,26037,inform,19,inform,C,NA,default,22,Yes,NA,Male,English,NA,15
2267,default,block1,ballet,projective,0.07,4297,MC,20,MC,MC,NA,default,22,Yes,NA,Male,English,NA,16
2267,default,block1,frank,projective,0.07,4549,prove,21,prove,C,NA,default,22,Yes,NA,Male,English,NA,17
2267,default,block1,jackson,projective,0.92,4043,reveal,22,reveal,C,NA,default,22,Yes,NA,Male,English,NA,18
2267,default,block1,josh,projective,0.96,3598,know,23,know,C,NA,default,22,Yes,NA,Male,English,NA,19
2267,default,block1,jayden,projective,0.4,4601,be_right,24,be_right,C,NA,default,22,Yes,NA,Male,English,NA,20
2267,default,block1,pizza,projective,0.16,16913,MC,25,MC,MC,NA,default,22,Yes,NA,Male,English,NA,21
2267,default,block1,muffins,projective,0.12,3767,MC,26,MC,MC,NA,default,22,Yes,NA,Male,English,NA,22
2267,default,block1,mary,projective,0.96,2595,see,27,see,C,NA,default,22,Yes,NA,Male,English,NA,23
2267,default,block1,emily,projective,0.14,7972,say,28,say,C,NA,default,22,Yes,NA,Male,English,NA,24
2267,default,block1,kids,projective,0.08,8072,MC,29,MC,MC,NA,default,22,Yes,NA,Male,English,NA,25
2267,default,block1,charley,projective,0.94,4284,hear,30,hear,C,NA,default,22,Yes,NA,Male,English,NA,26
2267,default,block2,muffins,ai,0.030000000000000027,8692,MC,32,MC,MC,NA,default,22,Yes,NA,Male,English,NA,27
2267,default,block2,hat,ai,0.72,8566,MC,33,MC,MC,NA,default,22,Yes,NA,Male,English,NA,28
2267,default,block2,emma,ai,0.96,3782,discover,34,discover,C,NA,default,22,Yes,NA,Male,English,NA,29
