"workerid","content","short_trigger","ai_block","ai","projective","verb","op","exp_block"
"1","charley","acknowledge","block1",0.98,0.3,"acknowledge","q","1"
"1","danny","hear","block1",0.99,0.98,"hear","q","1"
"1","emily","reveal","block1",0.99,0.01,"reveal","q","1"
"1","emma","discover","block1",0.99,0.99,"discover","q","1"
"1","frank","see","block1",0.98,0.98,"see","q","1"
"1","grace","know","block1",0.98,0.99,"know","q","1"
"1","isabella","say","block1",1,0.01,"say","q","1"
"1","jackson","confirm","block1",0.99,0.01,"confirm","q","1"
"1","jayden","pretend","block1",0.99,0.27,"pretend","q","1"
"1","jon","demonstrate","block1",0.99,0.01,"demonstrate","q","1"
"1","josh","prove","block1",0.98,0,"prove","q","1"
"1","josie","inform","block1",0.98,0.76,"inform","q","1"
"1","julian","announce","block1",1,0.01,"announce","q","1"
"1","mary","admit","block1",0.98,0.99,"admit","q","1"
"1","mia","think","block1",0.99,0.01,"think","q","1"
"1","olivia","suggest","block1",0.98,0.02,"suggest","q","1"
"1","owen","establish","block1",0.98,0.01,"establish","q","1"
"1","sophia","confess","block1",0.99,0.74,"confess","q","1"
"1","tony","be_right","block1",0.98,0,"be_right","q","1"
"1","zoe","be_annoyed","block1",1,0.99,"be_annoyed","q","1"
"3","charley","see","block1",0.96,0.88,"see","q","1"
"3","danny","admit","block1",0.94,1,"admit","q","1"
"3","emily","reveal","block1",0.82,0.89,"reveal","q","1"
"3","emma","know","block1",0.72,1,"know","q","1"
"3","frank","inform","block1",0.9,0.92,"inform","q","1"
"3","grace","hear","block1",0.91,0.88,"hear","q","1"
"3","isabella","say","block1",0.08,0,"say","q","1"
"3","jackson","confess","block1",0.82,0.35,"confess","q","1"
"3","jayden","confirm","block1",0.14,0.88,"confirm","q","1"
"3","jon","prove","block1",0.25,0.25,"prove","q","1"
"3","josh","think","block1",0.93,0.16,"think","q","1"
"3","josie","be_annoyed","block1",0.94,1,"be_annoyed","q","1"
"3","julian","announce","block1",0.31,0.29,"announce","q","1"
"3","mary","be_right","block1",0,0,"be_right","q","1"
"3","mia","suggest","block1",0.13,0.26,"suggest","q","1"
"3","olivia","discover","block1",0.94,0.95,"discover","q","1"
"3","owen","establish","block1",0.27,0.08,"establish","q","1"
"3","sophia","acknowledge","block1",0.91,1,"acknowledge","q","1"
"3","tony","pretend","block1",0.93,0.12,"pretend","q","1"
"3","zoe","demonstrate","block1",0.25,0.2,"demonstrate","q","1"
"4","charley","demonstrate","block2",0.02,0.02,"demonstrate","q","1"
"4","danny","reveal","block2",0.01,0,"reveal","q","1"
"4","emily","confirm","block2",0.03,0.01,"confirm","q","1"
"4","emma","hear","block2",0.98,0.74,"hear","q","1"
"4","frank","prove","block2",0.02,0.01,"prove","q","1"
"4","grace","acknowledge","block2",0.02,0.01,"acknowledge","q","1"
"4","isabella","discover","block2",0.99,0.99,"discover","q","1"
"4","jackson","be_annoyed","block2",0.99,0.97,"be_annoyed","q","1"
"4","jayden","be_right","block2",0.02,0.02,"be_right","q","1"
"4","jon","know","block2",0.98,0.97,"know","q","1"
"4","josh","say","block2",0.02,0.01,"say","q","1"
"4","josie","establish","block2",0.03,0.01,"establish","q","1"
"4","julian","inform","block2",1,0.01,"inform","q","1"
"4","mary","think","block2",0.02,0,"think","q","1"
"4","mia","suggest","block2",0.03,0.01,"suggest","q","1"
"4","olivia","see","block2",0.99,0.92,"see","q","1"
"4","owen","pretend","block2",0.09,0.01,"pretend","q","1"
"4","sophia","announce","block2",0.01,0.01,"announce","q","1"
"4","tony","admit","block2",0.03,0.01,"admit","q","1"
"4","zoe","confess","block2",0.01,0.05,"confess","q","1"
"5","charley","prove","block2",0.33,0.15,"prove","q","1"
"5","danny","know","block2",1,1,"know","q","1"
"5","emily","suggest","block2",0.12,0.08,"suggest","q","1"
"5","emma","admit","block2",0.81,0.66,"admit","q","1"
"5","frank","establish","block2",0.21,0.12,"establish","q","1"
"5","grace","be_annoyed","block2",1,1,"be_annoyed","q","1"
"5","isabella","confirm","block2",0.95,0.16,"confirm","q","1"
"5","jackson","say","block2",0.19,0,"say","q","1"
"5","jayden","inform","block2",1,1,"inform","q","1"
"5","jon","hear","block2",1,0.9,"hear","q","1"
"5","josh","announce","block2",1,0.06,"announce","q","1"
"5","josie","acknowledge","block2",1,1,"acknowledge","q","1"
"5","julian","be_right","block2",0,0.07,"be_right","q","1"
"5","mary","see","block2",1,1,"see","q","1"
