workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,gender,error.y,trial
1104,default,block1,hat,ai,0.29,44386,MC,5,MC,MC,NA,default,31,Yes,Female,NA,1
1104,default,block1,charley,ai,0.88,63642,know,6,know,C,NA,default,31,Yes,Female,NA,2
1104,default,block1,grace,ai,1,24363,discover,7,discover,C,NA,default,31,Yes,Female,NA,3
1104,default,block1,sophia,ai,0.97,37689,see,8,see,C,NA,default,31,Yes,Female,NA,4
1104,default,block1,danny,ai,0.97,44425,hear,9,hear,C,NA,default,31,Yes,Female,NA,5
1104,default,block1,jon,ai,0.97,19989,establish,10,establish,C,NA,default,31,Yes,Female,NA,6
1104,default,block1,jackson,ai,0.97,37230,think,11,think,C,NA,default,31,Yes,Female,NA,7
1104,default,block1,isabella,ai,1,20903,acknowledge,12,acknowledge,C,NA,default,31,Yes,Female,NA,8
1104,default,block1,mia,ai,0.97,29128,suggest,13,suggest,C,NA,default,31,Yes,Female,NA,9
1104,default,block1,mary,ai,0.97,23005,prove,14,prove,C,NA,default,31,Yes,Female,NA,10
1104,default,block1,josie,ai,0.97,18861,be_annoyed,15,be_annoyed,C,NA,default,31,Yes,Female,NA,11
1104,default,block1,zoe,ai,0.99,28418,be_right,16,be_right,C,NA,default,31,Yes,Female,NA,12
1104,default,block1,ballet,ai,0.18,28405,MC,17,MC,MC,NA,default,31,Yes,Female,NA,13
1104,default,block1,tony,ai,0.99,13797,reveal,18,reveal,C,NA,default,31,Yes,Female,NA,14
1104,default,block1,olivia,ai,0.98,29488,pretend,19,pretend,C,NA,default,31,Yes,Female,NA,15
1104,default,block1,owen,ai,0.97,23159,inform,20,inform,C,NA,default,31,Yes,Female,NA,16
1104,default,block1,emily,ai,0.98,11789,announce,21,announce,C,NA,default,31,Yes,Female,NA,17
1104,default,block1,julian,ai,0.28,46569,demonstrate,22,demonstrate,C,NA,default,31,Yes,Female,NA,18
1104,default,block1,frank,ai,0.89,35893,say,23,say,C,NA,default,31,Yes,Female,NA,19
1104,default,block1,emma,ai,0.97,20088,confirm,24,confirm,C,NA,default,31,Yes,Female,NA,20
1104,default,block1,muffins,ai,0.07,11006,MC,25,MC,MC,NA,default,31,Yes,Female,NA,21
1104,default,block1,garage,ai,0.15,17696,MC,26,MC,MC,NA,default,31,Yes,Female,NA,22
1104,default,block1,jayden,ai,0.93,12030,admit,27,admit,C,NA,default,31,Yes,Female,NA,23
1104,default,block1,josh,ai,0.88,17986,confess,28,confess,C,NA,default,31,Yes,Female,NA,24
1104,default,block1,kids,ai,0.19,25964,MC,29,MC,MC,NA,default,31,Yes,Female,NA,25
1104,default,block1,pizza,ai,0.15,13927,MC,30,MC,MC,NA,default,31,Yes,Female,NA,26
1104,default,block2,olivia,projective,0.47,43839,pretend,32,pretend,C,NA,default,31,Yes,Female,NA,27
1104,default,block2,grace,projective,0.83,23494,discover,33,discover,C,NA,default,31,Yes,Female,NA,28
1104,default,block2,charley,projective,0.85,14298,know,34,know,C,NA,default,31,Yes,Female,NA,29
1104,default,block2,hat,projective,0.97,6986,MC,35,MC,MC,NA,default,31,Yes,Female,NA,30
1104,default,block2,jon,projective,0.72,17233,establish,36,establish,C,NA,default,31,Yes,Female,NA,31
1104,default,block2,isabella,projective,0.58,16830,acknowledge,37,acknowledge,C,NA,default,31,Yes,Female,NA,32
1104,default,block2,pizza,projective,0.97,10707,MC,38,MC,MC,NA,default,31,Yes,Female,NA,33
1104,default,block2,jayden,projective,0.14,8432,admit,39,admit,C,NA,default,31,Yes,Female,NA,34
1104,default,block2,tony,projective,0.52,10571,reveal,40,reveal,C,NA,default,31,Yes,Female,NA,35
1104,default,block2,frank,projective,0.5,10549,say,41,say,C,NA,default,31,Yes,Female,NA,36
1104,default,block2,garage,projective,0.85,12696,MC,42,MC,MC,NA,default,31,Yes,Female,NA,37
1104,default,block2,muffins,projective,0.97,7408,MC,43,MC,MC,NA,default,31,Yes,Female,NA,38
1104,default,block2,sophia,projective,0.5,8962,see,44,see,C,NA,default,31,Yes,Female,NA,39
1104,default,block2,mary,projective,0.36,13025,prove,45,prove,C,NA,default,31,Yes,Female,NA,40
1104,default,block2,emma,projective,0.2,14034,confirm,46,confirm,C,NA,default,31,Yes,Female,NA,41
1104,default,block2,owen,projective,0.49,20454,inform,47,inform,C,NA,default,31,Yes,Female,NA,42
1104,default,block2,josie,projective,0.81,16340,be_annoyed,48,be_annoyed,C,NA,default,31,Yes,Female,NA,43
1104,default,block2,ballet,projective,0.98,8554,MC,49,MC,MC,NA,default,31,Yes,Female,NA,44
1104,default,block2,josh,projective,0.5,13313,confess,50,confess,C,NA,default,31,Yes,Female,NA,45
1104,default,block2,jackson,projective,0.52,11914,think,51,think,C,NA,default,31,Yes,Female,NA,46
1104,default,block2,emily,projective,0.64,13051,announce,52,announce,C,NA,default,31,Yes,Female,NA,47
1104,default,block2,zoe,projective,0.21,26312,be_right,53,be_right,C,NA,default,31,Yes,Female,NA,48
1104,default,block2,kids,projective,0.94,15306,MC,54,MC,MC,NA,default,31,Yes,Female,NA,49
1104,default,block2,julian,projective,0.5,15372,demonstrate,55,demonstrate,C,NA,default,31,Yes,Female,NA,50
1104,default,block2,danny,projective,0.49,18840,hear,56,hear,C,NA,default,31,Yes,Female,NA,51
1104,default,block2,mia,projective,0.49,9022,suggest,57,suggest,C,NA,default,31,Yes,Female,NA,52
1105,default,block1,jayden,ai,1,30931,admit,5,admit,C,NA,default,26,Yes,Female,NA,1
1105,default,block1,grace,ai,1,15099,think,6,think,C,NA,default,26,Yes,Female,NA,2
1105,default,block1,charley,ai,1,7010,discover,7,discover,C,NA,default,26,Yes,Female,NA,3
1105,default,block1,olivia,ai,1,7595,say,8,say,C,NA,default,26,Yes,Female,NA,4
1105,default,block1,josh,ai,1,4051,confirm,9,confirm,C,NA,default,26,Yes,Female,NA,5
1105,default,block1,zoe,ai,0.99,7470,suggest,10,suggest,C,NA,default,26,Yes,Female,NA,6
1105,default,block1,jon,ai,0.99,11466,demonstrate,11,demonstrate,C,NA,default,26,Yes,Female,NA,7
1105,default,block1,emma,ai,0.99,5029,confess,12,confess,C,NA,default,26,Yes,Female,NA,8
1105,default,block1,pizza,ai,1,6674,MC,13,MC,MC,NA,default,26,Yes,Female,NA,9
1105,default,block1,hat,ai,1,4431,MC,14,MC,MC,NA,default,26,Yes,Female,NA,10
1105,default,block1,ballet,ai,0.99,6369,MC,15,MC,MC,NA,default,26,Yes,Female,NA,11
1105,default,block1,julian,ai,0.98,3566,know,16,know,C,NA,default,26,Yes,Female,NA,12
1105,default,block1,garage,ai,0.16,15194,MC,17,MC,MC,NA,default,26,Yes,Female,NA,13
1105,default,block1,tony,ai,0.99,7582,inform,18,inform,C,NA,default,26,Yes,Female,NA,14
1105,default,block1,owen,ai,1,9035,be_right,19,be_right,C,NA,default,26,Yes,Female,NA,15
1105,default,block1,frank,ai,0.98,5119,acknowledge,20,acknowledge,C,NA,default,26,Yes,Female,NA,16
1105,default,block1,sophia,ai,0.98,4106,see,21,see,C,NA,default,26,Yes,Female,NA,17
1105,default,block1,josie,ai,1,3994,establish,22,establish,C,NA,default,26,Yes,Female,NA,18
1105,default,block1,isabella,ai,1,7638,pretend,23,pretend,C,NA,default,26,Yes,Female,NA,19
1105,default,block1,kids,ai,0.9,9092,MC,24,MC,MC,NA,default,26,Yes,Female,NA,20
