workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,catch_trials,subject_information.age,subject_information.american,subject_information.comments,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1104,default,block1,hat,ai,0.71,44386,MC,5,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,charley,ai,0.12,63642,know,6,know,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,grace,ai,0,24363,discover,7,discover,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,sophia,ai,0.03,37689,see,8,see,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,danny,ai,0.03,44425,hear,9,hear,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,jon,ai,0.03,19989,establish,10,establish,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,jackson,ai,0.03,37230,think,11,think,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,isabella,ai,0,20903,acknowledge,12,acknowledge,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,mia,ai,0.03,29128,suggest,13,suggest,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,mary,ai,0.03,23005,prove,14,prove,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,josie,ai,0.03,18861,be_annoyed,15,be_annoyed,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,zoe,ai,0.01,28418,be_right,16,be_right,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,ballet,ai,0.82,28405,MC,17,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,tony,ai,0.01,13797,reveal,18,reveal,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,olivia,ai,0.02,29488,pretend,19,pretend,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,owen,ai,0.03,23159,inform,20,inform,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,emily,ai,0.02,11789,announce,21,announce,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,julian,ai,0.72,46569,demonstrate,22,demonstrate,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,frank,ai,0.11,35893,say,23,say,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,emma,ai,0.03,20088,confirm,24,confirm,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,muffins,ai,0.93,11006,MC,25,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,garage,ai,0.85,17696,MC,26,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,jayden,ai,0.07,12030,admit,27,admit,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,josh,ai,0.12,17986,confess,28,confess,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,kids,ai,0.81,25964,MC,29,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block1,pizza,ai,0.85,13927,MC,30,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,olivia,projective,0.47,43839,pretend,32,pretend,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,grace,projective,0.83,23494,discover,33,discover,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,charley,projective,0.85,14298,know,34,know,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,hat,projective,0.97,6986,MC,35,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,jon,projective,0.72,17233,establish,36,establish,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,isabella,projective,0.58,16830,acknowledge,37,acknowledge,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,pizza,projective,0.97,10707,MC,38,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,jayden,projective,0.14,8432,admit,39,admit,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,tony,projective,0.52,10571,reveal,40,reveal,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,frank,projective,0.5,10549,say,41,say,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,garage,projective,0.85,12696,MC,42,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,muffins,projective,0.97,7408,MC,43,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,sophia,projective,0.5,8962,see,44,see,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,mary,projective,0.36,13025,prove,45,prove,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,emma,projective,0.2,14034,confirm,46,confirm,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,owen,projective,0.49,20454,inform,47,inform,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,josie,projective,0.81,16340,be_annoyed,48,be_annoyed,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,ballet,projective,0.98,8554,MC,49,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,josh,projective,0.5,13313,confess,50,confess,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,jackson,projective,0.52,11914,think,51,think,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,emily,projective,0.64,13051,announce,52,announce,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,zoe,projective,0.21,26312,be_right,53,be_right,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,kids,projective,0.94,15306,MC,54,MC,MC,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,julian,projective,0.5,15372,demonstrate,55,demonstrate,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
1104,default,block2,danny,projective,0.49,18840,hear,56,hear,C,[],31,Yes,,Female,English,Chrome,Windows,864,1536,20.7102,
