workerid,proliferate.condition,age,american,comments,gender,language,error
1104,default,31,Yes,,Female,English,
1105,default,26,Yes,,Female,english,
1107,default,50,Yes,well,Male,einglish,
1101,default,48,Yes,"Thank you for giving me the survey. I am very pleased to work with you.
",Male,English,
1099,default,41,Yes,Thank you.,Male,English,
1108,default,42,Yes,beautiful,Male,einglish,
1102,default,22,Yes,,Female,English,
1100,default,24,Yes,"I wasn't sure what ""good"" meant. Like what was ""good"" about the statements. I was getting pretty confused in the first part. ",Female,"Spanish, English",
1103,default,22,Yes,It was tricky to know how to scale some of those sentences unless I spoke them out loud.,Female,English ,
1106,default,19,Yes,,Female,English,
