workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,comments,gender,error.y,trial
1119,default,block1,kids,ai,0.17,27997,MC,5,MC,MC,NA,default,22,Yes,NONE,Female,NA,1
1119,default,block1,hat,ai,0.11,10155,MC,6,MC,MC,NA,default,22,Yes,NONE,Female,NA,2
1119,default,block1,jayden,ai,0.86,21428,see,7,see,C,NA,default,22,Yes,NONE,Female,NA,3
1119,default,block1,frank,ai,0.23,30332,establish,8,establish,C,NA,default,22,Yes,NONE,Female,NA,4
1119,default,block1,olivia,ai,0.15,10886,hear,9,hear,C,NA,default,22,Yes,NONE,Female,NA,5
1119,default,block1,josh,ai,0.1,28266,know,10,know,C,NA,default,22,Yes,NONE,Female,NA,6
1119,default,block1,isabella,ai,0.97,20625,suggest,11,suggest,C,NA,default,22,Yes,NONE,Female,NA,7
1119,default,block1,tony,ai,0.96,21077,be_right,12,be_right,C,NA,default,22,Yes,NONE,Female,NA,8
1119,default,block1,emily,ai,0.94,26048,prove,13,prove,C,NA,default,22,Yes,NONE,Female,NA,9
1119,default,block1,owen,ai,0.09,12983,admit,14,admit,C,NA,default,22,Yes,NONE,Female,NA,10
1119,default,block1,julian,ai,0.02,17828,reveal,15,reveal,C,NA,default,22,Yes,NONE,Female,NA,11
1119,default,block1,mary,ai,0.95,17416,be_annoyed,16,be_annoyed,C,NA,default,22,Yes,NONE,Female,NA,12
1119,default,block1,pizza,ai,0.16,20351,MC,17,MC,MC,NA,default,22,Yes,NONE,Female,NA,13
1119,default,block1,garage,ai,0.09,10200,MC,18,MC,MC,NA,default,22,Yes,NONE,Female,NA,14
1119,default,block1,sophia,ai,0.26,16399,announce,19,announce,C,NA,default,22,Yes,NONE,Female,NA,15
1119,default,block1,mia,ai,0.24,15874,demonstrate,20,demonstrate,C,NA,default,22,Yes,NONE,Female,NA,16
1119,default,block1,charley,ai,0.26,14371,think,21,think,C,NA,default,22,Yes,NONE,Female,NA,17
1119,default,block1,emma,ai,0.11,14570,confirm,22,confirm,C,NA,default,22,Yes,NONE,Female,NA,18
1119,default,block1,jon,ai,0.02,17541,say,23,say,C,NA,default,22,Yes,NONE,Female,NA,19
1119,default,block1,grace,ai,0.09,8764,confess,24,confess,C,NA,default,22,Yes,NONE,Female,NA,20
1119,default,block1,jackson,ai,0.83,17189,inform,25,inform,C,NA,default,22,Yes,NONE,Female,NA,21
1119,default,block1,danny,ai,0.89,18267,pretend,26,pretend,C,NA,default,22,Yes,NONE,Female,NA,22
1119,default,block1,ballet,ai,0.19,11019,MC,27,MC,MC,NA,default,22,Yes,NONE,Female,NA,23
1119,default,block1,josie,ai,0.18,16141,acknowledge,28,acknowledge,C,NA,default,22,Yes,NONE,Female,NA,24
1119,default,block1,muffins,ai,0.29,10717,MC,29,MC,MC,NA,default,22,Yes,NONE,Female,NA,25
1119,default,block1,zoe,ai,0.19,12947,discover,30,discover,C,NA,default,22,Yes,NONE,Female,NA,26
1119,default,block2,jayden,projective,0.02,19841,see,32,see,C,NA,default,22,Yes,NONE,Female,NA,27
1119,default,block2,hat,projective,0.99,8947,MC,33,MC,MC,NA,default,22,Yes,NONE,Female,NA,28
1119,default,block2,frank,projective,0.97,10028,establish,34,establish,C,NA,default,22,Yes,NONE,Female,NA,29
1119,default,block2,tony,projective,0.17,33649,be_right,35,be_right,C,NA,default,22,Yes,NONE,Female,NA,30
1119,default,block2,josie,projective,0.95,24897,acknowledge,36,acknowledge,C,NA,default,22,Yes,NONE,Female,NA,31
