workerid,proliferate.condition,age,american,comments,gender,language,error
1134,default,21,Yes,,Female,English,
1131,default,27,Yes,,Female,English,
1136,default,19,Yes,,Female,English,
1129,default,20,Yes,Enjoyed this! ,Female,en_US,
1138,default,31,Yes,,Female,English,
1137,default,18,Yes,,Female,English,
1128,default,25,Yes,,Male,English,
1130,default,22,Yes,,Female,English,
1135,default,20,Yes,,Female,English,
1132,default,22,Yes,"Some of the wordings of the sentences didn't sound natural, which I think impacted some of my results (especially during the ""does this sound good?"" questions. I did think the formatting was clear, though.",Female,English,
