rt	stimulus	response	trial_type	trial_index	time_elapsed	internal_node_id	slider_start	task	correct	accuracy	participant_id	ctime
21692	<h3>Instructions</h3><p style='text-align:left'>In this experiment, you will read what different people say and rate how natural that sounds. Here's an example from Leah:<br><br><b>Leah:</b> <i>""I have no idea if Mitchell got a poodle. Did Frank suggest that Mitchell wanted to get a poodle?""</i><br> <br> Leah first made a statement and then asked a question. We ask you to rate how natural the question sounds in the context of the statement. You will give your answer on a sliding scale from ""totally unnatural"" to ""totally natural"".<br><br> We start off with four practice examples. Then you will rate 30 examples.<br><br><b> Payment:</b> You will be paid $1.35 to participate in this experiment, which will take about 5 minutes to complete.<br> <p style='text-align:left' font size=""1""> <b> Consent:</b> By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time without penalty. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at judith.tonhauser@ling.uni-stuttgart.de.</p>	0	html-button-response	0	21697	0.0-0.0	NA	NA	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
11756	<b>First practice example</b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i>	79	html-slider-response	1	33457	0.0-1.0-0.0	50	practice	TRUE	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
5497	<p style='text-align:left'><b> Good response! </b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i> <br><br> Katia's question sounds very natural in this context because it is natural for Katia to ask whether Natalie is from the USA if Katia doesn't know where Natalie is from.</p>	0	html-button-response	2	38956	0.0-1.0-2.0-0.0	NA	NA	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
4466	<p style='text-align:left'><b>Here's the second practice example.</b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i></p>	0	html-slider-response	3	43425	0.0-2.0-0.0	50	practice	TRUE	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
1099	<p style='text-align:left'><b> Good response! </b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i> <br><br> Xenia's question does not sound very natural in this context. Her question implies that she has a sister, but she stated that she doesn't have any sisters.</p>	0	html-button-response	4	44527	0.0-2.0-2.0-0.0	NA	NA	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
6117	<p style='text-align:left'><b>Here's the third practice example.</b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i></p>	75	html-slider-response	5	50647	0.0-3.0-0.0	50	practice	TRUE	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
1681	<p style='text-align:left'><b> Good response! </b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i> <br><br> Kerstin's question sounds very natural in this context.</p>	0	html-button-response	6	52331	0.0-3.0-2.0-0.0	NA	NA	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
7150	<p style='text-align:left'><b> Here's the last practice example.</b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i></p>	0	html-slider-response	7	59484	0.0-4.0-0.0	50	practice	TRUE	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
1031	<p style='text-align:left'><b> Good response! </b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i> <br><br> Mirko's question does not sound very natural in this context. Mirko's question implies that he thinks that Anna has dogs, but he stated that he doesn't know whether Anna has any dogs.</p>	0	html-button-response	8	60519	0.0-4.0-2.0-0.0	NA	NA	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
6581	<p style='text-align:left'><b>Great, you're ready to go!</b><br>To make sure you are paying attention, we have included some examples for which we know the right answer. If you read the examples carefully, you will definitely get those right.<br></p>	0	html-button-response	9	67103	0.0-5.0	NA	NA	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
5463	<b>Leia:</b><em> ""I don't know if Ann plays any instrument. Does Ann play the flute, too?""</em>	0	html-slider-response	10	72570	0.0-6.0-0.0	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
5853	<b>Nicholas:</b><em> ""I don't know if Julian dances salsa. Did Kathleen say that Julian dances salsa?""</em>	100	html-slider-response	11	78424	0.0-6.0-0.1	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
6482	<b>Ike:</b><em> ""Mary visited her aunt yesterday. Is Mary's aunt sick?""</em>	100	html-slider-response	12	84908	0.0-6.0-0.2	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
5131	<b>Autumn:</b><em> ""I don't know if John was ever reading ""Dune"". Has John recently continued reading ""Dune""?""</em>	0	html-slider-response	13	90041	0.0-6.0-0.3	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
8405	<b>William:</b><em> ""I don't know if Josh learned to ride a bike yesterday. Did Sharon acknowledge that Josh learned to ride a bike yesterday?""</em>	100	html-slider-response	14	98449	0.0-6.0-0.4	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
8203	<b>David:</b><em> ""I don't know if Sophia got a tattoo. Does Ben know that Sophia got a tattoo?""</em>	0	html-slider-response	15	106655	0.0-6.0-0.5	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
6035	<b>Marlo:</b><em> ""I don't know if this pizza has mushrooms on it. Does this pizza have mushrooms on it?""</em>	100	html-slider-response	16	112693	0.0-6.0-0.6	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
6284	<b>Brandon:</b><em> ""Danny loves cake. Did Amanda hear that Danny ate the last cupcake?""</em>	100	html-slider-response	17	118980	0.0-6.0-0.7	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
10755	<b>Pax:</b><em> ""Hendrick was looking to buy a car. Was Hendrick's car expensive?""</em>	0	html-slider-response	18	129737	0.0-6.0-0.8	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
5734	<b>Rebecca:</b><em> ""I don't know if Jackson ran 10 miles. Did Laura pretend that Jackson ran 10 miles?""</em>	100	html-slider-response	19	135475	0.0-6.0-0.9	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
9901	<b>Gregory:</b><em> ""I don't know if Josie went on vacation to France. Did Scott discover that Josie went on vacation to France?""</em>	100	html-slider-response	20	145378	0.0-6.0-0.10	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
16428	<b>Amy:</b><em> ""Grace loves her sister. Did Andrew prove that Grace visited her sister?""</em>	0	html-slider-response	21	161809	0.0-6.0-0.11	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
7456	<b>Diane:</b><em> ""Mary is a middle school student. Did Patrick confirm that Mary is pregnant?""</em>	17	html-slider-response	22	169269	0.0-6.0-0.12	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
7224	<b>Paul:</b><em> ""I don't know if Olivia sleeps until noon. Did Jerry reveal that Olivia sleeps until noon?""</em>	100	html-slider-response	23	176494	0.0-6.0-0.13	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
7471	<b>Saskia:</b><em> ""I don't know if William was ever interested in history. Is William interested in history again?""</em>	0	html-slider-response	24	183968	0.0-6.0-0.14	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
7436	<b>Finn:</b><em> ""I don't know if Samantha has a new hat. Does Samantha have a new hat?""</em>	100	html-slider-response	25	191406	0.0-6.0-0.15	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
11269	<b>Margaret:</b><em> ""I don't know if Jon walks to work. Did Ruth see that Jon walks to work?""</em>	100	html-slider-response	26	202677	0.0-6.0-0.16	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
5515	<b>Rachel:</b><em> ""Emma is in first grade. Did Justin announce that Emma studied on Saturday morning?""</em>	0	html-slider-response	27	208195	0.0-6.0-0.17	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
6601	<b>Ruth:</b><em> ""I don't know if Mia drank 2 cocktails last night. Is Ray right that Mia drank 2 cocktails last night?""</em>	100	html-slider-response	28	214799	0.0-6.0-0.18	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
27891	<b>Raymond:</b><em> ""I don't know if Zoe calculated the tip. Did Tim demonstrate that Zoe calculated the tip?""</em>	100	html-slider-response	29	242692	0.0-6.0-0.19	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
11199	<b>Daniel:</b><em> ""I don't know if Frank got a cat. Is Melissa annoyed that Frank got a cat?""</em>	0	html-slider-response	30	253893	0.0-6.0-0.20	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
10256	<b>Lisa:</b><em> ""Emily never has any money. Did Brian admit that Emily bought a car yesterday?""</em>	0	html-slider-response	31	264151	0.0-6.0-0.21	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
14278	<b>Paul:</b><em> ""Owen lives in Chicago. Did Cynthia inform Sam that Owen shoveled snow last winter?""</em>	0	html-slider-response	32	278432	0.0-6.0-0.22	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
6788	<b>Dalton:</b><em> ""I don't know if Svenja plays any sport. Does Svenja also play soccer?""</em>	0	html-slider-response	33	285223	0.0-6.0-0.23	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
10892	<b>Cici:</b><em> ""I don't know if Stephen was ever in the habit of vaping. Has Stephen recently stopped vaping?""</em>	0	html-slider-response	34	296117	0.0-6.0-0.24	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
