workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error
698,default,block1,jackson,ai,0.02,20970,be_right,5,be_right,C,
698,default,block1,isabella,ai,0.01,19887,pretend,6,pretend,C,
698,default,block1,mary,ai,0,30485,reveal,7,reveal,C,
698,default,block1,danny,ai,0.03,9517,say,8,say,C,
698,default,block1,josie,ai,0.02,10457,discover,9,discover,C,
698,default,block1,tony,ai,0.01,9599,prove,10,prove,C,
698,default,block1,emily,ai,0.02,14428,announce,11,announce,C,
698,default,block1,muffins,ai,1,14312,MC,12,MC,MC,
698,default,block1,kids,ai,1,11630,MC,13,MC,MC,
698,default,block1,jayden,ai,0,11500,acknowledge,14,acknowledge,C,
698,default,block1,garage,ai,0.98,7397,MC,15,MC,MC,
698,default,block1,zoe,ai,0.01,7444,think,16,think,C,
698,default,block1,owen,ai,0.01,10990,confess,17,confess,C,
698,default,block1,olivia,ai,0.03,6401,suggest,18,suggest,C,
698,default,block1,pizza,ai,1,7170,MC,19,MC,MC,
698,default,block1,grace,ai,0.02,6610,see,20,see,C,
698,default,block1,mia,ai,0.02,5851,hear,21,hear,C,
698,default,block1,ballet,ai,1,7452,MC,22,MC,MC,
698,default,block1,sophia,ai,0.01,7331,know,23,know,C,
698,default,block1,frank,ai,0,5296,be_annoyed,24,be_annoyed,C,
698,default,block1,hat,ai,1,5584,MC,25,MC,MC,
698,default,block1,julian,ai,0.02,5032,demonstrate,26,demonstrate,C,
698,default,block1,josh,ai,0.02,4822,admit,27,admit,C,
698,default,block1,emma,ai,0.02,6236,confirm,28,confirm,C,
698,default,block1,jon,ai,0.02,4788,establish,29,establish,C,
698,default,block1,charley,ai,0.02,6828,inform,30,inform,C,
698,default,block2,muffins,projective,0.98,8455,MC,32,MC,MC,
698,default,block2,zoe,projective,0.02,7378,think,33,think,C,
698,default,block2,grace,projective,0.02,6008,see,34,see,C,
698,default,block2,mia,projective,0.03,4540,hear,35,hear,C,
698,default,block2,pizza,projective,0.99,4842,MC,36,MC,MC,
698,default,block2,owen,projective,0.03,3958,confess,37,confess,C,
698,default,block2,jackson,projective,0.01,7358,be_right,38,be_right,C,
698,default,block2,jon,projective,0.01,3952,establish,39,establish,C,
698,default,block2,frank,projective,0.03,3242,be_annoyed,40,be_annoyed,C,
698,default,block2,olivia,projective,0,5008,suggest,41,suggest,C,
698,default,block2,emily,projective,0.02,3864,announce,42,announce,C,
698,default,block2,mary,projective,0.5,15588,reveal,43,reveal,C,
698,default,block2,josh,projective,0.48,12112,admit,44,admit,C,
698,default,block2,hat,projective,0.98,5494,MC,45,MC,MC,
698,default,block2,sophia,projective,0.04,4818,know,46,know,C,
698,default,block2,charley,projective,0.51,7352,inform,47,inform,C,
698,default,block2,jayden,projective,0.48,7099,acknowledge,48,acknowledge,C,
698,default,block2,ballet,projective,0.98,3796,MC,49,MC,MC,
698,default,block2,kids,projective,0.97,3874,MC,50,MC,MC,
698,default,block2,josie,projective,0.48,4434,discover,51,discover,C,
698,default,block2,garage,projective,0.99,7295,MC,52,MC,MC,
698,default,block2,isabella,projective,0.04,6232,pretend,53,pretend,C,
698,default,block2,tony,projective,0.51,8322,prove,54,prove,C,
698,default,block2,emma,projective,0.48,5427,confirm,55,confirm,C,
698,default,block2,danny,projective,0.05,5954,say,56,say,C,
698,default,block2,julian,projective,0.49,6201,demonstrate,57,demonstrate,C,
701,default,block1,sophia,ai,0.02,21174,announce,5,announce,C,
701,default,block1,charley,ai,0.03,20052,confirm,6,confirm,C,
701,default,block1,julian,ai,0.01,13901,be_annoyed,7,be_annoyed,C,
701,default,block1,muffins,ai,0.97,8239,MC,8,MC,MC,
701,default,block1,mia,ai,0.01,14105,acknowledge,9,acknowledge,C,
701,default,block1,jayden,ai,0,10125,inform,10,inform,C,
701,default,block1,emily,ai,0.01,15177,know,11,know,C,
701,default,block1,hat,ai,0.98,7187,MC,12,MC,MC,
701,default,block1,ballet,ai,0.97,6946,MC,13,MC,MC,
701,default,block1,jon,ai,0.02,8505,pretend,14,pretend,C,
701,default,block1,pizza,ai,0.98,6141,MC,15,MC,MC,
701,default,block1,emma,ai,0.02,7620,admit,16,admit,C,
701,default,block1,mary,ai,0.01,5739,say,17,say,C,
701,default,block1,isabella,ai,0.01,6092,think,18,think,C,
701,default,block1,zoe,ai,0.01,4526,demonstrate,19,demonstrate,C,
701,default,block1,josh,ai,0.03,6059,reveal,20,reveal,C,
701,default,block1,olivia,ai,0.03,4708,see,21,see,C,
701,default,block1,frank,ai,0.02,4810,establish,22,establish,C,
701,default,block1,grace,ai,0.03,10678,suggest,23,suggest,C,
701,default,block1,owen,ai,0.01,5011,discover,24,discover,C,
701,default,block1,danny,ai,0.03,5428,hear,25,hear,C,
701,default,block1,josie,ai,0.03,3995,confess,26,confess,C,
701,default,block1,tony,ai,0,7130,prove,27,prove,C,
701,default,block1,garage,ai,0.98,4517,MC,28,MC,MC,
701,default,block1,kids,ai,0.99,5490,MC,29,MC,MC,
701,default,block1,jackson,ai,0.02,5034,be_right,30,be_right,C,
701,default,block2,mia,projective,0.01,9237,acknowledge,32,acknowledge,C,
701,default,block2,emily,projective,0.02,4198,know,33,know,C,
701,default,block2,owen,projective,0.02,2379,discover,34,discover,C,
701,default,block2,josh,projective,0.01,4081,reveal,35,reveal,C,
701,default,block2,garage,projective,0.96,5101,MC,36,MC,MC,
701,default,block2,frank,projective,0.01,2505,establish,37,establish,C,
701,default,block2,tony,projective,0.02,2068,prove,38,prove,C,
701,default,block2,pizza,projective,0.97,3822,MC,39,MC,MC,
701,default,block2,ballet,projective,0.97,4644,MC,40,MC,MC,
701,default,block2,julian,projective,0.02,4268,be_annoyed,41,be_annoyed,C,
701,default,block2,grace,projective,0.01,2007,suggest,42,suggest,C,
701,default,block2,jackson,projective,0.01,6434,be_right,43,be_right,C,
701,default,block2,jayden,projective,0.02,2305,inform,44,inform,C,
701,default,block2,jon,projective,0.02,1891,pretend,45,pretend,C,
701,default,block2,isabella,projective,0.01,2266,think,46,think,C,
701,default,block2,kids,projective,0.99,4108,MC,47,MC,MC,
701,default,block2,josie,projective,0.02,2414,confess,48,confess,C,
701,default,block2,emma,projective,0.01,2079,admit,49,admit,C,
701,default,block2,charley,projective,0.02,4606,confirm,50,confirm,C,
701,default,block2,sophia,projective,0,3596,announce,51,announce,C,
701,default,block2,hat,projective,0.99,6250,MC,52,MC,MC,
701,default,block2,muffins,projective,1,3673,MC,53,MC,MC,
701,default,block2,danny,projective,0.01,3261,hear,54,hear,C,
701,default,block2,olivia,projective,0.01,2011,see,55,see,C,
701,default,block2,zoe,projective,0.03,3342,demonstrate,56,demonstrate,C,
701,default,block2,mary,projective,0.01,2814,say,57,say,C,
696,default,block1,hat,projective,0.99,29324,MC,5,MC,MC,
696,default,block1,jon,projective,0.99,31324,confess,6,confess,C,
696,default,block1,danny,projective,0.53,30217,inform,7,inform,C,
696,default,block1,frank,projective,0.99,17697,prove,8,prove,C,
696,default,block1,jackson,projective,0.97,39617,suggest,9,suggest,C,
696,default,block1,sophia,projective,0.7,24675,hear,10,hear,C,
696,default,block1,muffins,projective,0.97,16141,MC,11,MC,MC,
696,default,block1,kids,projective,0.99,10009,MC,12,MC,MC,
696,default,block1,grace,projective,0.11,15017,demonstrate,13,demonstrate,C,
696,default,block1,isabella,projective,0.14,5776,think,14,think,C,
696,default,block1,josie,projective,0.11,4712,establish,15,establish,C,
696,default,block1,owen,projective,0.05,7392,be_right,16,be_right,C,
696,default,block1,josh,projective,0.07,3972,discover,17,discover,C,
696,default,block1,olivia,projective,0.07,4816,say,18,say,C,
696,default,block1,emma,projective,0.03,4272,acknowledge,19,acknowledge,C,
696,default,block1,ballet,projective,0.99,8865,MC,20,MC,MC,
696,default,block1,jayden,projective,0.13,12136,pretend,21,pretend,C,
696,default,block1,garage,projective,0.99,9258,MC,22,MC,MC,
696,default,block1,zoe,projective,0.07,4332,admit,23,admit,C,
696,default,block1,mia,projective,0.05,2686,announce,24,announce,C,
696,default,block1,charley,projective,0.09,2467,confirm,25,confirm,C,
696,default,block1,emily,projective,0.03,4121,be_annoyed,26,be_annoyed,C,
696,default,block1,tony,projective,0.11,4323,see,27,see,C,
696,default,block1,julian,projective,0.03,2908,reveal,28,reveal,C,
696,default,block1,mary,projective,0.1,2987,know,29,know,C,
696,default,block1,pizza,projective,0.96,8702,MC,30,MC,MC,
696,default,block2,frank,ai,0.96,20272,prove,32,prove,C,
696,default,block2,zoe,ai,0.97,11378,admit,33,admit,C,
696,default,block2,muffins,ai,0.96,12414,MC,34,MC,MC,
696,default,block2,mary,ai,0.96,14060,know,35,know,C,
696,default,block2,mia,ai,0.96,22344,announce,36,announce,C,
696,default,block2,isabella,ai,0.94,12885,think,37,think,C,
696,default,block2,ballet,ai,0.94,12391,MC,38,MC,MC,
696,default,block2,garage,ai,0.98,11060,MC,39,MC,MC,
696,default,block2,owen,ai,0.97,13130,be_right,40,be_right,C,
696,default,block2,pizza,ai,0.96,12624,MC,41,MC,MC,
696,default,block2,hat,ai,0.95,12866,MC,42,MC,MC,
696,default,block2,danny,ai,0.94,28309,inform,43,inform,C,
696,default,block2,tony,ai,0.97,24621,see,44,see,C,
696,default,block2,emma,ai,0.96,8293,acknowledge,45,acknowledge,C,
696,default,block2,julian,ai,0.97,8285,reveal,46,reveal,C,
696,default,block2,jayden,ai,0.97,9588,pretend,47,pretend,C,
696,default,block2,kids,ai,0.98,15632,MC,48,MC,MC,
696,default,block2,josie,ai,0.95,30843,establish,49,establish,C,
696,default,block2,sophia,ai,0.95,22426,hear,50,hear,C,
696,default,block2,charley,ai,0.93,12022,confirm,51,confirm,C,
696,default,block2,olivia,ai,0.98,16755,say,52,say,C,
696,default,block2,emily,ai,0.97,11430,be_annoyed,53,be_annoyed,C,
696,default,block2,josh,ai,0.98,11281,discover,54,discover,C,
696,default,block2,jon,ai,0.98,8091,confess,55,confess,C,
696,default,block2,jackson,ai,0.98,11131,suggest,56,suggest,C,
696,default,block2,grace,ai,0.97,7451,demonstrate,57,demonstrate,C,
693,default,block1,mia,ai,0.93,25943,know,5,know,C,
693,default,block1,danny,ai,0.61,19443,think,6,think,C,
693,default,block1,jayden,ai,0.74,14710,establish,7,establish,C,
693,default,block1,garage,ai,0.2,93708,MC,8,MC,MC,
693,default,block1,emma,ai,0.79,8258,acknowledge,9,acknowledge,C,
693,default,block1,hat,ai,0.93,130298,MC,10,MC,MC,
693,default,block1,emily,ai,0.54,268610,confess,11,confess,C,
693,default,block1,kids,ai,0.99,466631,MC,12,MC,MC,
693,default,block1,muffins,ai,0.24,8292,MC,13,MC,MC,
693,default,block1,charley,ai,0.31,20865,admit,14,admit,C,
693,default,block1,jackson,ai,0.39,21843,discover,15,discover,C,
693,default,block1,ballet,ai,0.71,27518,MC,16,MC,MC,
693,default,block1,josie,ai,0.31,7601,demonstrate,17,demonstrate,C,
693,default,block1,owen,ai,0.52,31954,confirm,18,confirm,C,
693,default,block1,grace,ai,0.35,70494,reveal,19,reveal,C,
693,default,block1,mary,ai,0.73,6253,be_right,20,be_right,C,
693,default,block1,isabella,ai,0.71,6355,hear,21,hear,C,
693,default,block1,julian,ai,0.11,22377,suggest,22,suggest,C,
693,default,block1,pizza,ai,0.95,7784,MC,23,MC,MC,
693,default,block1,tony,ai,0.81,6640,pretend,24,pretend,C,
693,default,block1,olivia,ai,0.56,23621,inform,25,inform,C,
693,default,block1,frank,ai,0.04,11652,be_annoyed,26,be_annoyed,C,
693,default,block1,josh,ai,0.25,19070,see,27,see,C,
693,default,block1,zoe,ai,0.54,5938,say,28,say,C,
693,default,block1,sophia,ai,0.39,12004,announce,29,announce,C,
693,default,block1,jon,ai,0.75,8861,prove,30,prove,C,
693,default,block2,jon,projective,0.01,10020,prove,32,prove,C,
693,default,block2,isabella,projective,0.06,9313,hear,33,hear,C,
693,default,block2,ballet,projective,0.98,4593,MC,34,MC,MC,
693,default,block2,jayden,projective,0.04,5262,establish,35,establish,C,
693,default,block2,emily,projective,0.72,6788,confess,36,confess,C,
693,default,block2,emma,projective,0.51,9694,acknowledge,37,acknowledge,C,
693,default,block2,owen,projective,0.1,7121,confirm,38,confirm,C,
693,default,block2,charley,projective,0.81,5147,admit,39,admit,C,
693,default,block2,frank,projective,0.09,17342,be_annoyed,40,be_annoyed,C,
693,default,block2,josie,projective,0.26,23106,demonstrate,41,demonstrate,C,
693,default,block2,olivia,projective,0.79,10210,inform,42,inform,C,
693,default,block2,mia,projective,0.94,4959,know,43,know,C,
693,default,block2,mary,projective,0.19,5741,be_right,44,be_right,C,
693,default,block2,pizza,projective,0.99,8176,MC,45,MC,MC,
693,default,block2,josh,projective,0.99,12721,see,46,see,C,
693,default,block2,hat,projective,0.95,12232,MC,47,MC,MC,
693,default,block2,sophia,projective,0.96,29928,announce,48,announce,C,
693,default,block2,zoe,projective,0.37,8897,say,49,say,C,
693,default,block2,garage,projective,0.97,23898,MC,50,MC,MC,
693,default,block2,jackson,projective,0.18,11402,discover,51,discover,C,
693,default,block2,muffins,projective,0.99,7320,MC,52,MC,MC,
693,default,block2,danny,projective,0.14,7982,think,53,think,C,
693,default,block2,tony,projective,0.13,13381,pretend,54,pretend,C,
693,default,block2,kids,projective,0.99,10592,MC,55,MC,MC,
693,default,block2,grace,projective,0.98,9276,reveal,56,reveal,C,
693,default,block2,julian,projective,0.36,8615,suggest,57,suggest,C,
699,default,block1,josh,ai,0,17882,confess,5,confess,C,
699,default,block1,pizza,ai,0.99,10015,MC,6,MC,MC,
699,default,block1,mia,ai,0.02,12833,prove,7,prove,C,
699,default,block1,jayden,ai,0.01,10985,hear,8,hear,C,
699,default,block1,jon,ai,0.01,8474,establish,9,establish,C,
699,default,block1,tony,ai,0.99,13987,suggest,10,suggest,C,
699,default,block1,owen,ai,0.97,12523,pretend,11,pretend,C,
699,default,block1,grace,ai,0.8,9802,acknowledge,12,acknowledge,C,
699,default,block1,olivia,ai,0.91,12169,know,13,know,C,
699,default,block1,hat,ai,0.98,11465,MC,14,MC,MC,
699,default,block1,emily,ai,0.03,10695,be_annoyed,15,be_annoyed,C,
699,default,block1,isabella,ai,0.84,9127,inform,16,inform,C,
699,default,block1,muffins,ai,0.98,8217,MC,17,MC,MC,
699,default,block1,mary,ai,0.98,11652,see,18,see,C,
699,default,block1,sophia,ai,0.03,8918,reveal,19,reveal,C,
699,default,block1,julian,ai,0.49,8537,demonstrate,20,demonstrate,C,
699,default,block1,frank,ai,0.92,9403,be_right,21,be_right,C,
699,default,block1,josie,ai,0.87,9578,say,22,say,C,
699,default,block1,jackson,ai,0.97,7690,discover,23,discover,C,
699,default,block1,emma,ai,0.53,14538,confirm,24,confirm,C,
699,default,block1,kids,ai,0.99,8113,MC,25,MC,MC,
699,default,block1,ballet,ai,0.98,7766,MC,26,MC,MC,
