workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error
1046,default,block1,sophia,projective,1,11382,know,5,know,C,
1046,default,block1,emma,projective,0,17853,demonstrate,6,demonstrate,C,
1046,default,block1,danny,projective,0.29,7894,acknowledge,7,acknowledge,C,
1046,default,block1,zoe,projective,0.2,6252,suggest,8,suggest,C,
1046,default,block1,frank,projective,0.23,4791,say,9,say,C,
1046,default,block1,hat,projective,0.12,8562,MC,10,MC,MC,
1046,default,block1,garage,projective,0,5949,MC,11,MC,MC,
1046,default,block1,ballet,projective,0.09,6424,MC,12,MC,MC,
1046,default,block1,pizza,projective,0,6122,MC,13,MC,MC,
1046,default,block1,olivia,projective,0.09,5016,prove,14,prove,C,
1046,default,block1,mary,projective,0.22,5424,announce,15,announce,C,
1046,default,block1,mia,projective,0.37,7973,inform,16,inform,C,
1046,default,block1,kids,projective,0,6331,MC,17,MC,MC,
1046,default,block1,jayden,projective,0.39,4967,admit,18,admit,C,
1046,default,block1,owen,projective,0.56,6199,discover,19,discover,C,
1046,default,block1,julian,projective,0.38,6408,establish,20,establish,C,
1046,default,block1,grace,projective,0.72,7264,hear,21,hear,C,
1046,default,block1,jackson,projective,0.9,6907,be_annoyed,22,be_annoyed,C,
1046,default,block1,jon,projective,0.92,7179,see,23,see,C,
1046,default,block1,isabella,projective,0.18,4339,be_right,24,be_right,C,
1046,default,block1,josie,projective,0.33,7848,confirm,25,confirm,C,
1046,default,block1,charley,projective,0.15,6632,pretend,26,pretend,C,
1046,default,block1,muffins,projective,0.11,4417,MC,27,MC,MC,
1046,default,block1,tony,projective,0.25,8724,think,28,think,C,
1046,default,block1,emily,projective,0.87,4506,reveal,29,reveal,C,
1046,default,block1,josh,projective,0.77,6212,confess,30,confess,C,
1046,default,block2,hat,ai,1,7870,MC,32,MC,MC,
1046,default,block2,isabella,ai,1,5822,be_right,33,be_right,C,
1046,default,block2,julian,ai,0.73,5989,establish,34,establish,C,
1046,default,block2,jayden,ai,0.78,5112,admit,35,admit,C,
1046,default,block2,mary,ai,0.83,4116,announce,36,announce,C,
1046,default,block2,kids,ai,1,5426,MC,37,MC,MC,
1046,default,block2,tony,ai,0.23,10963,think,38,think,C,
1046,default,block2,garage,ai,1,4005,MC,39,MC,MC,
1046,default,block2,frank,ai,0.66,3340,say,40,say,C,
1046,default,block2,owen,ai,0.52,6002,discover,41,discover,C,
1046,default,block2,ballet,ai,1,3608,MC,42,MC,MC,
1046,default,block2,pizza,ai,1,5053,MC,43,MC,MC,
1046,default,block2,emma,ai,0.45,8717,demonstrate,44,demonstrate,C,
1046,default,block2,josh,ai,0.44,8416,confess,45,confess,C,
1046,default,block2,emily,ai,0.49,4226,reveal,46,reveal,C,
1046,default,block2,mia,ai,0.28,3650,inform,47,inform,C,
1046,default,block2,charley,ai,0.09,7357,pretend,48,pretend,C,
1046,default,block2,jackson,ai,0.11,3282,be_annoyed,49,be_annoyed,C,
1046,default,block2,josie,ai,0.36,3422,confirm,50,confirm,C,
1046,default,block2,zoe,ai,0.26,3673,suggest,51,suggest,C,
1046,default,block2,sophia,ai,0.22,3195,know,52,know,C,
1046,default,block2,muffins,ai,1,4317,MC,53,MC,MC,
1046,default,block2,olivia,ai,0.12,2708,prove,54,prove,C,
1046,default,block2,jon,ai,0.14,2845,see,55,see,C,
1046,default,block2,danny,ai,0.13,3194,acknowledge,56,acknowledge,C,
1046,default,block2,grace,ai,0.19,4365,hear,57,hear,C,
1045,default,block1,jackson,projective,0.34,11110,say,5,say,C,
1045,default,block1,danny,projective,0.99,11230,acknowledge,6,acknowledge,C,
1045,default,block1,kids,projective,0.01,9399,MC,7,MC,MC,
1045,default,block1,hat,projective,0.3,8068,MC,8,MC,MC,
1045,default,block1,mia,projective,0.82,10814,confess,9,confess,C,
1045,default,block1,grace,projective,0.72,10931,prove,10,prove,C,
1045,default,block1,mary,projective,0.35,7883,suggest,11,suggest,C,
1045,default,block1,isabella,projective,0.74,8506,see,12,see,C,
1045,default,block1,jayden,projective,0.86,8122,hear,13,hear,C,
1045,default,block1,garage,projective,0.06,16545,MC,14,MC,MC,
1045,default,block1,tony,projective,0.31,7928,announce,15,announce,C,
1045,default,block1,frank,projective,0.71,9035,confirm,16,confirm,C,
1045,default,block1,julian,projective,0.98,8096,be_annoyed,17,be_annoyed,C,
1045,default,block1,zoe,projective,0.49,12048,demonstrate,18,demonstrate,C,
1045,default,block1,ballet,projective,0.49,10364,MC,19,MC,MC,
1045,default,block1,emily,projective,0.78,4277,admit,20,admit,C,
1045,default,block1,charley,projective,0.15,8569,think,21,think,C,
1045,default,block1,sophia,projective,1,15753,reveal,22,reveal,C,
1045,default,block1,olivia,projective,0.01,8164,pretend,23,pretend,C,
1045,default,block1,muffins,projective,0.5,18996,MC,24,MC,MC,
1045,default,block1,josie,projective,1,8214,inform,25,inform,C,
1045,default,block1,josh,projective,0.96,12244,know,26,know,C,
1045,default,block1,jon,projective,0.19,7726,be_right,27,be_right,C,
1045,default,block1,emma,projective,0.22,15737,establish,28,establish,C,
1045,default,block1,pizza,projective,0.99,17732,MC,29,MC,MC,
1045,default,block1,owen,projective,0.98,13927,discover,30,discover,C,
1045,default,block2,tony,ai,0.67,11045,announce,32,announce,C,
1045,default,block2,garage,ai,0.97,4645,MC,33,MC,MC,
1045,default,block2,emily,ai,0.33,7999,admit,34,admit,C,
1045,default,block2,mia,ai,0.38,4882,confess,35,confess,C,
1045,default,block2,mary,ai,0.27,5991,suggest,36,suggest,C,
1045,default,block2,charley,ai,0.29,5843,think,37,think,C,
1045,default,block2,muffins,ai,0.98,4667,MC,38,MC,MC,
1045,default,block2,danny,ai,0.36,5215,acknowledge,39,acknowledge,C,
1045,default,block2,sophia,ai,0.34,5914,reveal,40,reveal,C,
1045,default,block2,hat,ai,0.99,5567,MC,41,MC,MC,
1045,default,block2,emma,ai,0.63,12445,establish,42,establish,C,
1045,default,block2,julian,ai,0.01,5581,be_annoyed,43,be_annoyed,C,
1045,default,block2,pizza,ai,0.99,4159,MC,44,MC,MC,
1045,default,block2,owen,ai,0.26,6804,discover,45,discover,C,
1045,default,block2,jayden,ai,0.26,6384,hear,46,hear,C,
1045,default,block2,josie,ai,0.24,12074,inform,47,inform,C,
1045,default,block2,ballet,ai,0.99,4092,MC,48,MC,MC,
1045,default,block2,josh,ai,0.29,4263,know,49,know,C,
1045,default,block2,frank,ai,0.67,5263,confirm,50,confirm,C,
1045,default,block2,olivia,ai,0.27,4514,pretend,51,pretend,C,
1045,default,block2,jon,ai,0.98,4200,be_right,52,be_right,C,
1045,default,block2,grace,ai,0.7,5019,prove,53,prove,C,
1045,default,block2,jackson,ai,0.66,5659,say,54,say,C,
1045,default,block2,kids,ai,0.97,6861,MC,55,MC,MC,
1045,default,block2,isabella,ai,0.68,10186,see,56,see,C,
1045,default,block2,zoe,ai,0.6,7252,demonstrate,57,demonstrate,C,
1040,default,block1,jon,ai,0.05,12423,establish,5,establish,C,
1040,default,block1,emma,ai,0.11,9198,hear,6,hear,C,
1040,default,block1,jayden,ai,0.92,9407,be_right,7,be_right,C,
1040,default,block1,charley,ai,0.5,14809,suggest,8,suggest,C,
1040,default,block1,julian,ai,0.14,7575,think,9,think,C,
1040,default,block1,garage,ai,0.9,10055,MC,10,MC,MC,
1040,default,block1,muffins,ai,0.87,7166,MC,11,MC,MC,
1040,default,block1,josh,ai,0.22,7357,admit,12,admit,C,
1040,default,block1,frank,ai,0.16,8331,demonstrate,13,demonstrate,C,
1040,default,block1,danny,ai,0.14,6822,confess,14,confess,C,
1040,default,block1,emily,ai,0.1,6185,prove,15,prove,C,
1040,default,block1,grace,ai,0.09,7735,see,16,see,C,
1040,default,block1,hat,ai,0.93,5696,MC,17,MC,MC,
1040,default,block1,isabella,ai,0.08,6658,reveal,18,reveal,C,
1040,default,block1,pizza,ai,0.92,5878,MC,19,MC,MC,
1040,default,block1,tony,ai,0.1,5386,announce,20,announce,C,
1040,default,block1,jackson,ai,0.11,5017,be_annoyed,21,be_annoyed,C,
1040,default,block1,mia,ai,0.1,6141,pretend,22,pretend,C,
1040,default,block1,olivia,ai,0.11,5811,discover,23,discover,C,
1040,default,block1,kids,ai,0.91,8044,MC,24,MC,MC,
1040,default,block1,sophia,ai,0.12,5164,know,25,know,C,
1040,default,block1,mary,ai,0.4,13877,acknowledge,26,acknowledge,C,
1040,default,block1,ballet,ai,0.96,6555,MC,27,MC,MC,
1040,default,block1,josie,ai,0.66,10083,say,28,say,C,
1040,default,block1,zoe,ai,0.8,5853,confirm,29,confirm,C,
1040,default,block1,owen,ai,0.36,8329,inform,30,inform,C,
1040,default,block2,josh,projective,0.15,10415,admit,32,admit,C,
1040,default,block2,emma,projective,0.82,7601,hear,33,hear,C,
1040,default,block2,ballet,projective,0.13,10109,MC,34,MC,MC,
1040,default,block2,hat,projective,0.14,6411,MC,35,MC,MC,
1040,default,block2,mary,projective,0.47,21051,acknowledge,36,acknowledge,C,
1040,default,block2,jackson,projective,0.86,6995,be_annoyed,37,be_annoyed,C,
1040,default,block2,josie,projective,0.27,6884,say,38,say,C,
1040,default,block2,jon,projective,0.22,6384,establish,39,establish,C,
1040,default,block2,tony,projective,0.22,7717,announce,40,announce,C,
1040,default,block2,kids,projective,0.03,8691,MC,41,MC,MC,
1040,default,block2,sophia,projective,0.83,8279,know,42,know,C,
1040,default,block2,grace,projective,0.92,5504,see,43,see,C,
1040,default,block2,olivia,projective,0.15,7973,discover,44,discover,C,
1040,default,block2,muffins,projective,0.11,6319,MC,45,MC,MC,
1040,default,block2,emily,projective,0.12,5525,prove,46,prove,C,
1040,default,block2,jayden,projective,0.09,7334,be_right,47,be_right,C,
1040,default,block2,zoe,projective,0.12,5132,confirm,48,confirm,C,
1040,default,block2,danny,projective,0.49,10727,confess,49,confess,C,
1040,default,block2,julian,projective,0.07,12262,think,50,think,C,
1040,default,block2,pizza,projective,0.07,4969,MC,51,MC,MC,
1040,default,block2,isabella,projective,0.08,6398,reveal,52,reveal,C,
1040,default,block2,mia,projective,0.09,10930,pretend,53,pretend,C,
1040,default,block2,owen,projective,0.58,12770,inform,54,inform,C,
1040,default,block2,frank,projective,0.2,7295,demonstrate,55,demonstrate,C,
1040,default,block2,garage,projective,0.01,6067,MC,56,MC,MC,
1040,default,block2,charley,projective,0.12,7033,suggest,57,suggest,C,
1039,default,block1,jon,ai,0.95,8557,say,5,say,C,
1039,default,block1,muffins,ai,0.99,29616,MC,6,MC,MC,
1039,default,block1,kids,ai,0.99,11642,MC,7,MC,MC,
1039,default,block1,pizza,ai,0.95,6602,MC,8,MC,MC,
1039,default,block1,josh,ai,0.09,9678,be_annoyed,9,be_annoyed,C,
1039,default,block1,frank,ai,0.09,7535,admit,10,admit,C,
1039,default,block1,isabella,ai,0.12,13112,establish,11,establish,C,
1039,default,block1,ballet,ai,0.88,7237,MC,12,MC,MC,
1039,default,block1,jayden,ai,0.11,16008,suggest,13,suggest,C,
1039,default,block1,olivia,ai,0,10187,confess,14,confess,C,
1039,default,block1,mary,ai,0.47,8218,confirm,15,confirm,C,
1039,default,block1,emma,ai,0.12,7324,prove,16,prove,C,
1039,default,block1,emily,ai,0.11,16478,demonstrate,17,demonstrate,C,
1039,default,block1,jackson,ai,0.22,23696,announce,18,announce,C,
1039,default,block1,hat,ai,0.93,5257,MC,19,MC,MC,
1039,default,block1,garage,ai,0.96,11534,MC,20,MC,MC,
1039,default,block1,grace,ai,0.08,22524,think,21,think,C,
1039,default,block1,tony,ai,0.1,12351,see,22,see,C,
1039,default,block1,julian,ai,0.99,5550,be_right,23,be_right,C,
1039,default,block1,charley,ai,0.11,14394,inform,24,inform,C,
1039,default,block1,danny,ai,0.12,4800,discover,25,discover,C,
1039,default,block1,josie,ai,0.13,6433,hear,26,hear,C,
1039,default,block1,owen,ai,0.13,8376,acknowledge,27,acknowledge,C,
1039,default,block1,sophia,ai,0.13,4409,pretend,28,pretend,C,
1039,default,block1,mia,ai,0.04,3801,know,29,know,C,
1039,default,block1,zoe,ai,0.13,4592,reveal,30,reveal,C,
1039,default,block2,danny,projective,0.97,5357,discover,32,discover,C,
1039,default,block2,zoe,projective,0.95,5701,reveal,33,reveal,C,
1039,default,block2,garage,projective,0.07,18817,MC,34,MC,MC,
1039,default,block2,jon,projective,0.12,3576,say,35,say,C,
1039,default,block2,jayden,projective,0.13,5308,suggest,36,suggest,C,
1039,default,block2,charley,projective,0.98,12152,inform,37,inform,C,
1039,default,block2,josh,projective,0.92,20794,be_annoyed,38,be_annoyed,C,
1039,default,block2,mary,projective,0.09,28662,confirm,39,confirm,C,
1039,default,block2,owen,projective,0.99,6292,acknowledge,40,acknowledge,C,
1039,default,block2,sophia,projective,0.1,21995,pretend,41,pretend,C,
1039,default,block2,ballet,projective,0.07,14494,MC,42,MC,MC,
1039,default,block2,frank,projective,0.28,8327,admit,43,admit,C,
1039,default,block2,mia,projective,0.99,21610,know,44,know,C,
1039,default,block2,hat,projective,0.1,5651,MC,45,MC,MC,
1039,default,block2,grace,projective,0.02,5117,think,46,think,C,
1039,default,block2,emma,projective,0.13,8919,prove,47,prove,C,
1039,default,block2,muffins,projective,0.08,3759,MC,48,MC,MC,
1039,default,block2,olivia,projective,0.84,28217,confess,49,confess,C,
1039,default,block2,tony,projective,0.98,111681,see,50,see,C,
1039,default,block2,pizza,projective,0.1,3738,MC,51,MC,MC,
1039,default,block2,isabella,projective,0.12,7780,establish,52,establish,C,
1039,default,block2,kids,projective,0.11,4039,MC,53,MC,MC,
1039,default,block2,josie,projective,0.95,5951,hear,54,hear,C,
1039,default,block2,jackson,projective,0.99,33463,announce,55,announce,C,
1039,default,block2,emily,projective,0.93,6016,demonstrate,56,demonstrate,C,
1039,default,block2,julian,projective,0.14,4392,be_right,57,be_right,C,
1044,default,block1,grace,ai,0.03,10865,acknowledge,5,acknowledge,C,
1044,default,block1,jackson,ai,0,4954,confess,6,confess,C,
1044,default,block1,jayden,ai,0.04,5254,see,7,see,C,
1044,default,block1,owen,ai,0.03,5829,think,8,think,C,
1044,default,block1,hat,ai,0.97,9382,MC,9,MC,MC,
1044,default,block1,sophia,ai,0.01,4667,confirm,10,confirm,C,
1044,default,block1,mia,ai,0.47,8164,prove,11,prove,C,
1044,default,block1,tony,ai,0.01,4202,hear,12,hear,C,
1044,default,block1,frank,ai,0.74,7703,establish,13,establish,C,
1044,default,block1,kids,ai,0.98,7693,MC,14,MC,MC,
1044,default,block1,emily,ai,0.98,8007,say,15,say,C,
1044,default,block1,emma,ai,0.49,6036,demonstrate,16,demonstrate,C,
1044,default,block1,mary,ai,0.01,4464,announce,17,announce,C,
1044,default,block1,jon,ai,0.99,5099,be_right,18,be_right,C,
1044,default,block1,charley,ai,0.65,7613,admit,19,admit,C,
1044,default,block1,olivia,ai,0.01,7777,be_annoyed,20,be_annoyed,C,
1044,default,block1,isabella,ai,0,15402,pretend,21,pretend,C,
1044,default,block1,josh,ai,0.47,5384,reveal,22,reveal,C,
1044,default,block1,garage,ai,0.97,4889,MC,23,MC,MC,
1044,default,block1,josie,ai,0.03,4381,discover,24,discover,C,
1044,default,block1,pizza,ai,0.98,5907,MC,25,MC,MC,
1044,default,block1,zoe,ai,0.03,5761,inform,26,inform,C,
1044,default,block1,danny,ai,0.01,6178,know,27,know,C,
1044,default,block1,julian,ai,0.05,5477,suggest,28,suggest,C,
1044,default,block1,muffins,ai,0.98,5355,MC,29,MC,MC,
1044,default,block1,ballet,ai,0.98,3311,MC,30,MC,MC,
1044,default,block2,garage,projective,0,8978,MC,32,MC,MC,
1044,default,block2,pizza,projective,0.03,3663,MC,33,MC,MC,
1044,default,block2,josie,projective,0.98,5024,discover,34,discover,C,
1044,default,block2,josh,projective,0.99,7332,reveal,35,reveal,C,
1044,default,block2,zoe,projective,0.98,3704,inform,36,inform,C,
1044,default,block2,ballet,projective,0,3547,MC,37,MC,MC,
1044,default,block2,tony,projective,0.99,3069,hear,38,hear,C,
1044,default,block2,olivia,projective,1,4551,be_annoyed,39,be_annoyed,C,
1044,default,block2,mary,projective,0.5,6826,announce,40,announce,C,
1044,default,block2,jon,projective,0,4701,be_right,41,be_right,C,
1044,default,block2,jackson,projective,0.49,5124,confess,42,confess,C,
1044,default,block2,muffins,projective,0,4494,MC,43,MC,MC,
1044,default,block2,danny,projective,0.99,3699,know,44,know,C,
1044,default,block2,emma,projective,0.49,8330,demonstrate,45,demonstrate,C,
1044,default,block2,charley,projective,0.48,3202,admit,46,admit,C,
1044,default,block2,grace,projective,0.98,4357,acknowledge,47,acknowledge,C,
1044,default,block2,frank,projective,0.52,3773,establish,48,establish,C,
1044,default,block2,owen,projective,0.02,7598,think,49,think,C,
1044,default,block2,hat,projective,0.01,6090,MC,50,MC,MC,
1044,default,block2,julian,projective,0.48,7575,suggest,51,suggest,C,
1044,default,block2,isabella,projective,0.03,7507,pretend,52,pretend,C,
1044,default,block2,mia,projective,0.02,3866,prove,53,prove,C,
1044,default,block2,kids,projective,0.01,4102,MC,54,MC,MC,
1044,default,block2,emily,projective,0.49,6155,say,55,say,C,
1044,default,block2,sophia,projective,0.02,3557,confirm,56,confirm,C,
1044,default,block2,jayden,projective,0.97,3312,see,57,see,C,
1041,default,block1,tony,ai,0.94,9836,be_right,5,be_right,C,
1041,default,block1,emma,ai,0.73,18874,hear,6,hear,C,
1041,default,block1,ballet,ai,0.98,6103,MC,7,MC,MC,
1041,default,block1,hat,ai,0.98,7743,MC,8,MC,MC,
1041,default,block1,muffins,ai,0.97,4490,MC,9,MC,MC,
1041,default,block1,isabella,ai,0,13159,be_annoyed,10,be_annoyed,C,
1041,default,block1,josie,ai,0.01,8012,know,11,know,C,
1041,default,block1,sophia,ai,0.02,5431,announce,12,announce,C,
1041,default,block1,jackson,ai,0.5,14068,confirm,13,confirm,C,
1041,default,block1,owen,ai,0.02,6631,see,14,see,C,
1041,default,block1,julian,ai,0.5,8578,confess,15,confess,C,
1041,default,block1,pizza,ai,0.99,12756,MC,16,MC,MC,
1041,default,block1,emily,ai,0.31,9740,reveal,17,reveal,C,
1041,default,block1,frank,ai,0.01,5795,think,18,think,C,
1041,default,block1,olivia,ai,0.38,9075,establish,19,establish,C,
1041,default,block1,mia,ai,0.03,6189,acknowledge,20,acknowledge,C,
1041,default,block1,jayden,ai,0.33,4589,say,21,say,C,
1041,default,block1,josh,ai,0.01,7493,suggest,22,suggest,C,
1041,default,block1,garage,ai,0.97,5536,MC,23,MC,MC,
1041,default,block1,zoe,ai,0.02,8904,inform,24,inform,C,
1041,default,block1,grace,ai,0.01,4925,pretend,25,pretend,C,
1041,default,block1,mary,ai,0.03,4052,discover,26,discover,C,
1041,default,block1,charley,ai,0.01,7156,prove,27,prove,C,
1041,default,block1,danny,ai,0.02,5443,demonstrate,28,demonstrate,C,
1041,default,block1,kids,ai,0.97,9625,MC,29,MC,MC,
1041,default,block1,jon,ai,0.02,4152,admit,30,admit,C,
1041,default,block2,isabella,projective,0.99,14547,be_annoyed,32,be_annoyed,C,
1041,default,block2,owen,projective,1,8296,see,33,see,C,
1041,default,block2,emma,projective,0.98,4459,hear,34,hear,C,
1041,default,block2,emily,projective,0.51,7348,reveal,35,reveal,C,
1041,default,block2,charley,projective,0.01,6890,prove,36,prove,C,
1041,default,block2,hat,projective,0.02,8200,MC,37,MC,MC,
1041,default,block2,olivia,projective,0.01,6352,establish,38,establish,C,
1041,default,block2,danny,projective,0,8364,demonstrate,39,demonstrate,C,
1041,default,block2,mia,projective,0.5,6736,acknowledge,40,acknowledge,C,
1041,default,block2,ballet,projective,0,6962,MC,41,MC,MC,
1041,default,block2,josie,projective,0.74,8028,know,42,know,C,
1041,default,block2,jayden,projective,0,6821,say,43,say,C,
1041,default,block2,tony,projective,0.02,3901,be_right,44,be_right,C,
1041,default,block2,garage,projective,0.01,5038,MC,45,MC,MC,
1041,default,block2,josh,projective,0.02,8549,suggest,46,suggest,C,
1041,default,block2,muffins,projective,0.01,6881,MC,47,MC,MC,
1041,default,block2,frank,projective,0.2,6709,think,48,think,C,
1041,default,block2,jon,projective,0.12,5880,admit,49,admit,C,
1041,default,block2,zoe,projective,0.74,6808,inform,50,inform,C,
1041,default,block2,mary,projective,0.49,4885,discover,51,discover,C,
1041,default,block2,julian,projective,0.38,5653,confess,52,confess,C,
1041,default,block2,pizza,projective,0.39,13681,MC,53,MC,MC,
1041,default,block2,sophia,projective,0.03,5080,announce,54,announce,C,
1041,default,block2,kids,projective,0.01,6160,MC,55,MC,MC,
1041,default,block2,grace,projective,0.01,6208,pretend,56,pretend,C,
1041,default,block2,jackson,projective,0.34,5056,confirm,57,confirm,C,
1038,default,block1,josie,ai,0.42,27748,see,5,see,C,
1038,default,block1,olivia,ai,0.35,7249,prove,6,prove,C,
1038,default,block1,josh,ai,0.3,12693,confess,7,confess,C,
1038,default,block1,sophia,ai,0.35,4786,admit,8,admit,C,
1038,default,block1,frank,ai,0.41,17158,demonstrate,9,demonstrate,C,
1038,default,block1,garage,ai,0.98,11619,MC,10,MC,MC,
1038,default,block1,jackson,ai,0.43,9380,reveal,11,reveal,C,
1038,default,block1,charley,ai,0.79,12145,discover,12,discover,C,
1038,default,block1,zoe,ai,0.14,8671,be_annoyed,13,be_annoyed,C,
1038,default,block1,muffins,ai,0.97,7078,MC,14,MC,MC,
1038,default,block1,kids,ai,0.98,7436,MC,15,MC,MC,
