workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,comments,gender,language,error.y,trial
1076,default,block1,isabella,projective,0.47,10859,admit,5,admit,C,NA,default,19,Yes,NA,Female,English,NA,1
1076,default,block1,mary,projective,0.15,6072,be_right,6,be_right,C,NA,default,19,Yes,NA,Female,English,NA,2
1076,default,block1,tony,projective,0.97,14279,know,7,know,C,NA,default,19,Yes,NA,Female,English,NA,3
1076,default,block1,mia,projective,0.02,8695,say,8,say,C,NA,default,19,Yes,NA,Female,English,NA,4
1076,default,block1,emily,projective,0.96,12189,hear,9,hear,C,NA,default,19,Yes,NA,Female,English,NA,5
1076,default,block1,julian,projective,0.52,9065,confirm,10,confirm,C,NA,default,19,Yes,NA,Female,English,NA,6
1076,default,block1,josie,projective,0.9,9787,demonstrate,11,demonstrate,C,NA,default,19,Yes,NA,Female,English,NA,7
1076,default,block1,danny,projective,0.84,5539,acknowledge,12,acknowledge,C,NA,default,19,Yes,NA,Female,English,NA,8
1076,default,block1,sophia,projective,0.97,5266,discover,13,discover,C,NA,default,19,Yes,NA,Female,English,NA,9
1076,default,block1,kids,projective,0.99,11058,MC,14,MC,MC,NA,default,19,Yes,NA,Female,English,NA,10
1076,default,block1,pizza,projective,0.98,6309,MC,15,MC,MC,NA,default,19,Yes,NA,Female,English,NA,11
1076,default,block1,josh,projective,0.05,9611,pretend,16,pretend,C,NA,default,19,Yes,NA,Female,English,NA,12
1076,default,block1,jon,projective,0.97,4701,inform,17,inform,C,NA,default,19,Yes,NA,Female,English,NA,13
1076,default,block1,emma,projective,0.97,7016,announce,18,announce,C,NA,default,19,Yes,NA,Female,English,NA,14
1076,default,block1,owen,projective,0.85,7272,be_annoyed,19,be_annoyed,C,NA,default,19,Yes,NA,Female,English,NA,15
1076,default,block1,ballet,projective,0.98,5395,MC,20,MC,MC,NA,default,19,Yes,NA,Female,English,NA,16
1076,default,block1,jayden,projective,0.92,7275,confess,21,confess,C,NA,default,19,Yes,NA,Female,English,NA,17
1076,default,block1,jackson,projective,0.39,10188,prove,22,prove,C,NA,default,19,Yes,NA,Female,English,NA,18
1076,default,block1,hat,projective,0.96,4849,MC,23,MC,MC,NA,default,19,Yes,NA,Female,English,NA,19
1076,default,block1,olivia,projective,0.63,10635,suggest,24,suggest,C,NA,default,19,Yes,NA,Female,English,NA,20
1076,default,block1,grace,projective,0.92,7336,reveal,25,reveal,C,NA,default,19,Yes,NA,Female,English,NA,21
1076,default,block1,garage,projective,1,6061,MC,26,MC,MC,NA,default,19,Yes,NA,Female,English,NA,22
1076,default,block1,frank,projective,0.08,6169,think,27,think,C,NA,default,19,Yes,NA,Female,English,NA,23
1076,default,block1,muffins,projective,0.97,4174,MC,28,MC,MC,NA,default,19,Yes,NA,Female,English,NA,24
1076,default,block1,charley,projective,0.61,6920,establish,29,establish,C,NA,default,19,Yes,NA,Female,English,NA,25
1076,default,block1,zoe,projective,0.92,9402,see,30,see,C,NA,default,19,Yes,NA,Female,English,NA,26
1076,default,block2,josh,ai,0.78,12170,pretend,32,pretend,C,NA,default,19,Yes,NA,Female,English,NA,27
1076,default,block2,owen,ai,0.44,6424,be_annoyed,33,be_annoyed,C,NA,default,19,Yes,NA,Female,English,NA,28
1076,default,block2,garage,ai,0.03,7816,MC,34,MC,MC,NA,default,19,Yes,NA,Female,English,NA,29
1076,default,block2,tony,ai,0.18,8960,know,35,know,C,NA,default,19,Yes,NA,Female,English,NA,30
1076,default,block2,jon,ai,0.03,6642,inform,36,inform,C,NA,default,19,Yes,NA,Female,English,NA,31
1076,default,block2,charley,ai,0.2,8250,establish,37,establish,C,NA,default,19,Yes,NA,Female,English,NA,32
1076,default,block2,frank,ai,0.05,4054,think,38,think,C,NA,default,19,Yes,NA,Female,English,NA,33
1076,default,block2,emily,ai,0.11,4110,hear,39,hear,C,NA,default,19,Yes,NA,Female,English,NA,34
1076,default,block2,grace,ai,0.04,11119,reveal,40,reveal,C,NA,default,19,Yes,NA,Female,English,NA,35
1076,default,block2,sophia,ai,0.05,7644,discover,41,discover,C,NA,default,19,Yes,NA,Female,English,NA,36
1076,default,block2,ballet,ai,0.04,6359,MC,42,MC,MC,NA,default,19,Yes,NA,Female,English,NA,37
1076,default,block2,josie,ai,0.24,29550,demonstrate,43,demonstrate,C,NA,default,19,Yes,NA,Female,English,NA,38
1076,default,block2,kids,ai,0.04,3990,MC,44,MC,MC,NA,default,19,Yes,NA,Female,English,NA,39
1076,default,block2,julian,ai,0.04,23489,confirm,45,confirm,C,NA,default,19,Yes,NA,Female,English,NA,40
1076,default,block2,zoe,ai,0.12,9640,see,46,see,C,NA,default,19,Yes,NA,Female,English,NA,41
1076,default,block2,olivia,ai,0.53,8078,suggest,47,suggest,C,NA,default,19,Yes,NA,Female,English,NA,42
1076,default,block2,jayden,ai,0.24,3496,confess,48,confess,C,NA,default,19,Yes,NA,Female,English,NA,43
1076,default,block2,danny,ai,0.02,4480,acknowledge,49,acknowledge,C,NA,default,19,Yes,NA,Female,English,NA,44
1076,default,block2,emma,ai,0.16,6377,announce,50,announce,C,NA,default,19,Yes,NA,Female,English,NA,45
1076,default,block2,muffins,ai,0.81,11871,MC,51,MC,MC,NA,default,19,Yes,NA,Female,English,NA,46
1076,default,block2,hat,ai,0.2,5073,MC,52,MC,MC,NA,default,19,Yes,NA,Female,English,NA,47
1076,default,block2,mia,ai,0.84,10008,say,53,say,C,NA,default,19,Yes,NA,Female,English,NA,48
1076,default,block2,pizza,ai,0.45,6324,MC,54,MC,MC,NA,default,19,Yes,NA,Female,English,NA,49
1076,default,block2,isabella,ai,0.19,9711,admit,55,admit,C,NA,default,19,Yes,NA,Female,English,NA,50
