workerid,proliferate.condition,age,american,comments,gender,language,error
1085,default,19,Yes,,Female,English,
1083,default,20,Yes,,Female,English,
1081,default,25,Yes,"Tough to say whether the response sounded ""good"" being that ""good"" is subjective and I'm not clear on what the purpose of the conversations were. ",Female,English,
1077,default,39,Yes,The study is really interesting,Male,English,
1076,default,19,Yes,,Female,English,
1064,default,31,Yes,Taylor 8.12.21 11:30AM,Female,English,
1079,default,21,Yes,,Female,English,
1078,default,32,Yes,,Male,english,
1080,default,20,Yes,,Female,english,
1082,default,21,Yes,,Female,English,
1084,default,27,Yes,,Female,English,
