workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,comments,gender,language,error.y,trial
1145,default,block1,josie,projective,0.16,170644,pretend,5,pretend,C,NA,default,23,Yes,NA,Female,English,NA,1
1145,default,block1,mary,projective,0.78,19871,establish,6,establish,C,NA,default,23,Yes,NA,Female,English,NA,2
1145,default,block1,danny,projective,0.63,6589,admit,7,admit,C,NA,default,23,Yes,NA,Female,English,NA,3
1145,default,block1,pizza,projective,1,9685,MC,8,MC,MC,NA,default,23,Yes,NA,Female,English,NA,4
1145,default,block1,julian,projective,0.9,9280,confess,9,confess,C,NA,default,23,Yes,NA,Female,English,NA,5
1145,default,block1,charley,projective,0.41,11818,announce,10,announce,C,NA,default,23,Yes,NA,Female,English,NA,6
1145,default,block1,muffins,projective,0.85,15067,MC,11,MC,MC,NA,default,23,Yes,NA,Female,English,NA,7
1145,default,block1,isabella,projective,0.85,9732,acknowledge,12,acknowledge,C,NA,default,23,Yes,NA,Female,English,NA,8
1145,default,block1,garage,projective,0.98,7268,MC,13,MC,MC,NA,default,23,Yes,NA,Female,English,NA,9
1145,default,block1,sophia,projective,0.04,12037,be_right,14,be_right,C,NA,default,23,Yes,NA,Female,English,NA,10
1145,default,block1,owen,projective,0.53,46477,say,15,say,C,NA,default,23,Yes,NA,Female,English,NA,11
1145,default,block1,zoe,projective,0.35,16685,suggest,16,suggest,C,NA,default,23,Yes,NA,Female,English,NA,12
1145,default,block1,jackson,projective,0.76,25409,hear,17,hear,C,NA,default,23,Yes,NA,Female,English,NA,13
1145,default,block1,frank,projective,0.18,8426,prove,18,prove,C,NA,default,23,Yes,NA,Female,English,NA,14
1145,default,block1,emma,projective,0.22,18384,inform,19,inform,C,NA,default,23,Yes,NA,Female,English,NA,15
1145,default,block1,tony,projective,0.18,40094,think,20,think,C,NA,default,23,Yes,NA,Female,English,NA,16
1145,default,block1,olivia,projective,0.89,15566,reveal,21,reveal,C,NA,default,23,Yes,NA,Female,English,NA,17
1145,default,block1,kids,projective,1,7325,MC,22,MC,MC,NA,default,23,Yes,NA,Female,English,NA,18
1145,default,block1,mia,projective,0.33,8069,demonstrate,23,demonstrate,C,NA,default,23,Yes,NA,Female,English,NA,19
1145,default,block1,jon,projective,0.82,18551,discover,24,discover,C,NA,default,23,Yes,NA,Female,English,NA,20
1145,default,block1,hat,projective,0.98,5077,MC,25,MC,MC,NA,default,23,Yes,NA,Female,English,NA,21
1145,default,block1,emily,projective,0.95,6457,know,26,know,C,NA,default,23,Yes,NA,Female,English,NA,22
1145,default,block1,grace,projective,0.8,4688,confirm,27,confirm,C,NA,default,23,Yes,NA,Female,English,NA,23
1145,default,block1,jayden,projective,0.86,4537,see,28,see,C,NA,default,23,Yes,NA,Female,English,NA,24
1145,default,block1,josh,projective,0.8,6746,be_annoyed,29,be_annoyed,C,NA,default,23,Yes,NA,Female,English,NA,25
1145,default,block1,ballet,projective,0.9,6304,MC,30,MC,MC,NA,default,23,Yes,NA,Female,English,NA,26
1145,default,block2,charley,ai,0.78,11336,announce,32,announce,C,NA,default,23,Yes,NA,Female,English,NA,27
1145,default,block2,kids,ai,0.27,6177,MC,33,MC,MC,NA,default,23,Yes,NA,Female,English,NA,28
1145,default,block2,grace,ai,0.77,6506,confirm,34,confirm,C,NA,default,23,Yes,NA,Female,English,NA,29
1145,default,block2,jon,ai,0.79,6214,discover,35,discover,C,NA,default,23,Yes,NA,Female,English,NA,30
1145,default,block2,tony,ai,0.76,9013,think,36,think,C,NA,default,23,Yes,NA,Female,English,NA,31
1145,default,block2,muffins,ai,0.12,5511,MC,37,MC,MC,NA,default,23,Yes,NA,Female,English,NA,32
1145,default,block2,hat,ai,0.21,5980,MC,38,MC,MC,NA,default,23,Yes,NA,Female,English,NA,33
1145,default,block2,owen,ai,0.97,16128,say,39,say,C,NA,default,23,Yes,NA,Female,English,NA,34
1145,default,block2,emma,ai,0.79,13587,inform,40,inform,C,NA,default,23,Yes,NA,Female,English,NA,35
1145,default,block2,jackson,ai,0.9,3253,hear,41,hear,C,NA,default,23,Yes,NA,Female,English,NA,36
1145,default,block2,pizza,ai,0.18,4177,MC,42,MC,MC,NA,default,23,Yes,NA,Female,English,NA,37
1145,default,block2,josie,ai,0.93,2575,pretend,43,pretend,C,NA,default,23,Yes,NA,Female,English,NA,38
1145,default,block2,sophia,ai,0.77,5152,be_right,44,be_right,C,NA,default,23,Yes,NA,Female,English,NA,39
1145,default,block2,isabella,ai,0.79,16340,acknowledge,45,acknowledge,C,NA,default,23,Yes,NA,Female,English,NA,40
1145,default,block2,garage,ai,0.11,3034,MC,46,MC,MC,NA,default,23,Yes,NA,Female,English,NA,41
1145,default,block2,olivia,ai,0.91,6505,reveal,47,reveal,C,NA,default,23,Yes,NA,Female,English,NA,42
1145,default,block2,danny,ai,0.81,6504,admit,48,admit,C,NA,default,23,Yes,NA,Female,English,NA,43
1145,default,block2,josh,ai,0.81,4394,be_annoyed,49,be_annoyed,C,NA,default,23,Yes,NA,Female,English,NA,44
1145,default,block2,zoe,ai,0.74,7059,suggest,50,suggest,C,NA,default,23,Yes,NA,Female,English,NA,45
1145,default,block2,mary,ai,0.88,4678,establish,51,establish,C,NA,default,23,Yes,NA,Female,English,NA,46
1145,default,block2,julian,ai,0.84,3345,confess,52,confess,C,NA,default,23,Yes,NA,Female,English,NA,47
1145,default,block2,jayden,ai,0.86,2649,see,53,see,C,NA,default,23,Yes,NA,Female,English,NA,48
1145,default,block2,ballet,ai,0.08,3051,MC,54,MC,MC,NA,default,23,Yes,NA,Female,English,NA,49
1145,default,block2,mia,ai,0.83,4098,demonstrate,55,demonstrate,C,NA,default,23,Yes,NA,Female,English,NA,50
1145,default,block2,frank,ai,0.83,4007,prove,56,prove,C,NA,default,23,Yes,NA,Female,English,NA,51
1145,default,block2,emily,ai,0.85,4337,know,57,know,C,NA,default,23,Yes,NA,Female,English,NA,52
1141,default,block1,owen,ai,0.19,15755,confess,5,confess,C,NA,default,41,Yes,This was an interesting experiment. Made me think about how I perceive things.,Male,English,NA,1
1141,default,block1,olivia,ai,0.82,16133,admit,6,admit,C,NA,default,41,Yes,This was an interesting experiment. Made me think about how I perceive things.,Male,English,NA,2
1141,default,block1,josie,ai,0.8,12471,reveal,7,reveal,C,NA,default,41,Yes,This was an interesting experiment. Made me think about how I perceive things.,Male,English,NA,3
1141,default,block1,frank,ai,0.85,10790,demonstrate,8,demonstrate,C,NA,default,41,Yes,This was an interesting experiment. Made me think about how I perceive things.,Male,English,NA,4
1141,default,block1,mia,ai,0.73,8095,pretend,9,pretend,C,NA,default,41,Yes,This was an interesting experiment. Made me think about how I perceive things.,Male,English,NA,5
1141,default,block1,danny,ai,0.3,8360,prove,10,prove,C,NA,default,41,Yes,This was an interesting experiment. Made me think about how I perceive things.,Male,English,NA,6
