workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,comments,gender,language,error.y,trial
1055,default,block1,danny,ai,0.98,8991,see,5,see,C,NA,default,33,Yes,NA,Female,english,NA,1
1055,default,block1,ballet,ai,0.95,7868,MC,6,MC,MC,NA,default,33,Yes,NA,Female,english,NA,2
1055,default,block1,mary,ai,0.94,7537,announce,7,announce,C,NA,default,33,Yes,NA,Female,english,NA,3
1055,default,block1,emma,ai,0.94,13920,think,8,think,C,NA,default,33,Yes,NA,Female,english,NA,4
1055,default,block1,kids,ai,0.0600000000000001,11353,MC,9,MC,MC,NA,default,33,Yes,NA,Female,english,NA,5
1055,default,block1,owen,ai,0.95,10190,be_right,10,be_right,C,NA,default,33,Yes,NA,Female,english,NA,6
1055,default,block1,jon,ai,0.93,8036,reveal,11,reveal,C,NA,default,33,Yes,NA,Female,english,NA,7
1055,default,block1,jayden,ai,0.9,11231,establish,12,establish,C,NA,default,33,Yes,NA,Female,english,NA,8
1055,default,block1,josh,ai,0.94,21468,inform,13,inform,C,NA,default,33,Yes,NA,Female,english,NA,9
1055,default,block1,garage,ai,0.78,10638,MC,14,MC,MC,NA,default,33,Yes,NA,Female,english,NA,10
1055,default,block1,grace,ai,0.79,7112,confirm,15,confirm,C,NA,default,33,Yes,NA,Female,english,NA,11
1055,default,block1,mia,ai,0.64,7963,hear,16,hear,C,NA,default,33,Yes,NA,Female,english,NA,12
1055,default,block1,josie,ai,0.8,10126,suggest,17,suggest,C,NA,default,33,Yes,NA,Female,english,NA,13
1055,default,block1,jackson,ai,0.85,11277,confess,18,confess,C,NA,default,33,Yes,NA,Female,english,NA,14
1055,default,block1,pizza,ai,0.82,9894,MC,19,MC,MC,NA,default,33,Yes,NA,Female,english,NA,15
1055,default,block1,emily,ai,0.93,7651,prove,20,prove,C,NA,default,33,Yes,NA,Female,english,NA,16
1055,default,block1,isabella,ai,0.89,7881,admit,21,admit,C,NA,default,33,Yes,NA,Female,english,NA,17
1055,default,block1,olivia,ai,0.93,8631,discover,22,discover,C,NA,default,33,Yes,NA,Female,english,NA,18
1055,default,block1,zoe,ai,0.74,22504,acknowledge,23,acknowledge,C,NA,default,33,Yes,NA,Female,english,NA,19
1055,default,block1,muffins,ai,0.11,6578,MC,24,MC,MC,NA,default,33,Yes,NA,Female,english,NA,20
1055,default,block1,hat,ai,0.4,5605,MC,25,MC,MC,NA,default,33,Yes,NA,Female,english,NA,21
1055,default,block1,julian,ai,0.84,19531,know,26,know,C,NA,default,33,Yes,NA,Female,english,NA,22
1055,default,block1,frank,ai,0.42,7028,pretend,27,pretend,C,NA,default,33,Yes,NA,Female,english,NA,23
1055,default,block1,sophia,ai,0.79,5185,be_annoyed,28,be_annoyed,C,NA,default,33,Yes,NA,Female,english,NA,24
1055,default,block1,charley,ai,0.91,34148,demonstrate,29,demonstrate,C,NA,default,33,Yes,NA,Female,english,NA,25
1055,default,block1,tony,ai,0.85,8558,say,30,say,C,NA,default,33,Yes,NA,Female,english,NA,26
1055,default,block2,muffins,projective,0.17,11649,MC,32,MC,MC,NA,default,33,Yes,NA,Female,english,NA,27
1055,default,block2,emma,projective,0.35,28608,think,33,think,C,NA,default,33,Yes,NA,Female,english,NA,28
